"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.0011959799528879,0.00092436024896211,0.00782293189160089,0.00285982840101969,0.00706922276552409,0.00385387119182665,0.000327081318863517,0.000113767415256875,5.68837076284375e-05,0.0242239268935702,0.00915429665554329,0.209154296655543
"2",2,0.00125714204323841,0.000971631781337656,0.00822299450636685,0.00300607924964619,0.00743074090004538,0.00405095711911546,0.000343808168781018,0.000119585450010788,5.97927250053941e-05,0.0254627319435471,0.00952235697809019,0.218676653633633
"3",3,0.00131521529723961,0.00101651598478686,0.0086028529727885,0.00314494406985596,0.00777400147750076,0.0042380897211883,0.000359690271539967,0.000125109659666075,6.25548298330374e-05,0.0266389742843991,0.00985314395881429,0.228529797592448
"4",4,0.00136922321434689,0.00105825813237275,0.00895611997874229,0.00327408785261783,0.0080932325784999,0.00441212236727715,0.000374460569916511,0.000130247154753569,6.51235773767843e-05,0.0277328754259037,0.0101597212512669,0.238689518843715
"5",5,0.00139698409015104,0.00107971421949842,0.00913770449455512,0.00334046968524819,0.00825732213096411,0.00450157774590882,0.00038205272382252,0.000132887903938267,6.64439519691336e-05,0.0282951569460556,0.010442877166688,0.249132396010403
"6",6,0.00142641822225034,0.00110246354870716,0.00933023381759703,0.00341085260992321,0.00843130200095889,0.00459642494922523,0.00039010248646561,0.000135687821379342,6.7843910689671e-05,0.0288913293671965,0.0107101766420468,0.259842572652449
"7",7,0.0014557097404757,0.00112510265316196,0.0095218303000676,0.00348089451616722,0.00860443890595093,0.00469081260010602,0.000398113246503463,0.000138474172696856,6.92370863484281e-05,0.0294846132214782,0.0109635196967765,0.270806092349226
"8",8,0.00150619865131865,0.00116412499804652,0.00985207940654445,0.00360162364780237,0.00890286979275268,0.00485350576108625,0.000411921153154922,0.000143276922836494,7.1638461418247e-05,0.0305072387949605,0.0112962142264777,0.282102306575704
"9",9,0.00154599128977381,0.00119488030719735,0.010112363953681,0.00369677584272903,0.00913807693396623,0.00498173174231512,0.000422803801008295,0.000147062191655059,7.35310958275292e-05,0.0313132171581534,0.0115892426753049,0.293691549251009
"10",10,0.00160568069380196,0.00124101361589926,0.0105027936939413,0.00383950520242061,0.00949089028405418,0.00517407215244152,0.000439127894856661,0.000152740137341447,7.63700686707233e-05,0.0325221937434276,0.011955775307864,0.305647324558873
"11",11,0.00166608101996944,0.00128769638879921,0.0108978735919761,0.00398393451980801,0.00984790576726289,0.00536870340560902,0.000455646414498183,0.000158485709390672,7.92428546953358e-05,0.0337455696720088,0.0123147852103467,0.317962109769219
"12",12,0.00173446656066599,0.00134055084950403,0.0113451849586488,0.00414745808977325,0.0102521204198224,0.00558906584947068,0.000474348762132198,0.000164990873785112,8.24954368925559e-05,0.035130681800695,0.0126713231761012,0.330633432945321
"13",13,0.00180662365597741,0.00139632030485769,0.0118171661492649,0.00432000020472124,0.0106786280545348,0.00582158157871438,0.000494082569411184,0.000171854806751716,8.59274033758576e-05,0.0365921847276091,0.0129883737939704,0.343621806739291
"14",14,0.00186683179276693,0.00144285453662129,0.0122109889322365,0.00446396995868525,0.0110345075408376,0.0060155935296057,0.00051054852834292,0.000177582096814928,8.87910484074639e-05,0.0378116679643186,0.0132994258432326,0.356921232582524
"15",15,0.00191570065757967,0.00148062476507347,0.0125306412810295,0.0045808252347119,0.0113233626264311,0.00617306632822939,0.000523913378410613,0.000182230740316734,9.1115370158367e-05,0.0388014803819407,0.0136493154369179,0.370570548019442
"16",16,0.00195704913752781,0.00151258256764932,0.0128011026225214,0.00467969775929657,0.0115677660673612,0.00630630578204562,0.000535221523937452,0.00018616400832607,9.30820041630347e-05,0.0396389714728284,0.0140198102663174,0.384590358285759
"17",17,0.0019922754143403,0.00153980858421069,0.0130315184949893,0.00476393086591954,0.0117759822647867,0.00641981732801691,0.000544855345182247,0.000189514902672086,9.47574513360426e-05,0.0403524606514538,0.0143813419103087,0.398971700196068
