"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.00137309586992022,0.00106125126688245,0.00898145110633906,0.00328334815030863,0.00811612315026568,0.00442460143577147,0.000375519679050716,0.000130615540539379,6.53077702696894e-05,0.0278113139693473,0.00679441611204552,0.206794416112046
"2",2,0.00140578030769284,0.00108651272294928,0.00919524075222155,0.00336150320900154,0.00830931499350907,0.00452992227568086,0.000384458348120516,0.000133724642824527,6.68623214122634e-05,0.0284733195734124,0.00694245159693311,0.213736867708979
"3",3,0.00138453245503378,0.00107009048248747,0.00905625806794394,0.00331069532351122,0.00818372275145417,0.00446145416544775,0.000378647401495566,0.000131703443998457,6.58517219992286e-05,0.0280429558133716,0.00677889108926779,0.220515758798246
"4",4,0.00136861181550816,0.00105778558868051,0.00895212080512535,0.00327262587513307,0.00808961870973971,0.00441015222357566,0.000374293362148488,0.000130188995529909,6.50944977649542e-05,0.0277204918732058,0.00663884047252073,0.227154599270767
"5",5,0.00138935362319726,0.00107381671234033,0.00908779343782179,0.00332222370540985,0.00821221981083661,0.00447698967760354,0.000379965913597349,0.000132162056903425,6.60810284517125e-05,0.0281406059661618,0.00671705888546185,0.233871658156229
"6",6,0.001549703856032,0.00119774971036956,0.0101366479334507,0.0037056533346972,0.00916002124653399,0.00499369494631002,0.000423819128284614,0.000147415348968561,7.37076744842804e-05,0.0313884131791309,0.00760866424881543,0.241480322405044
"7",7,0.00160229570601267,0.00123839739465902,0.0104806524123373,0.00383141101639889,0.00947088222899998,0.0051631645223476,0.000438202155033192,0.00015241814088111,7.62090704405547e-05,0.0324536326471103,0.00786247612428499,0.249342798529329
"8",8,0.00168034521749554,0.00129872103611427,0.0109911760302532,0.00401804308250121,0.00993221887772928,0.00541466770441488,0.000459547443548126,0.000159842589060218,7.99212945301086e-05,0.0340344832756468,0.00824968065617332,0.257592479185503
"9",9,0.00172064596512442,0.00132986905746834,0.0112547841309744,0.00411441026856743,0.0101704293610387,0.00554453099344494,0.000470569051104183,0.000163676191688411,8.18380958442054e-05,0.034850753115255,0.0084316955466033,0.266024174732106
"10",10,0.00172443511858517,0.00133279765407891,0.0112795690693663,0.0041234708959272,0.0101928263668096,0.00555674098854438,0.000471605323751,0.000164036634348173,8.20183171740865e-05,0.0349275003685848,0.00841751034552428,0.27444168507763
"11",11,0.00176535928740551,0.00136442751107442,0.0115472549821852,0.00422132880733945,0.0104347217808476,0.00568861316155642,0.000482797426995564,0.000167929539824544,8.39647699122716e-05,0.0357563972671409,0.00860232819251038,0.283044013270141
"12",12,0.00178407632256369,0.00137889370947253,0.011669683532013,0.00426608499961425,0.0105453548150584,0.00574892608103165,0.000487916235659513,0.000169709995012004,8.48549975060019e-05,0.036135500687931,0.00866498462208577,0.291708997892226
"13",13,0.00176013662954265,0.00136039097408172,0.0115130934591131,0.00420884038288974,0.0104038515879388,0.00567178390732533,0.00048136911390584,0.000167432735271596,8.37163676357979e-05,0.0356506151577046,0.00848475569300811,0.300193753585235
"14",14,0.00184169443681883,0.00142342614022858,0.012046564919073,0.00440386148923026,0.0108859251431943,0.0059345920615684,0.000503673865003961,0.000175190909566595,8.75954547832971e-05,0.0373025244194672,0.00889946146932008,0.309093215054555
"15",15,0.0019253391358925,0.00148807424296091,0.0125936867854276,0.00460387277322213,0.0113803339411672,0.00620412492065241,0.000526549347509246,0.00018314759913365,9.1573799566825e-05,0.0389967025455325,0.00931599775177973,0.318409212806334
"16",16,0.00196274948045715,0.00151698830237473,0.0128383886944052,0.00469332842473166,0.0116014597709305,0.00632467430682389,0.000536780476224906,0.000186706252599967,9.33531262999833e-05,0.039754428834848,0.00947739649937191,0.327886609305706
"17",17,0.00212450633232052,0.00164200846136544,0.0138964439168789,0.00508012156277831,0.0125575754791502,0.00684591220046209,0.000581018378637004,0.000202093349091131,0.000101046674545566,0.0430307263552292,0.0102757005359465,0.338162309841653
"18",18,0.00223464631754003,0.00172713449036982,0.0146168720484991,0.0053434884002057,0.0132085931563514,0.00720082225984957,0.0006111398965924,0.000212570398814747,0.000106285199407373,0.0452615521676301,0.0107730037438251,0.348935313585478
"19",19,0.00230081129477199,0.00177827270107229,0.0150496586593826,0.00550170215670211,0.0135996824569698,0.00741402926139372,0.000629234955764043,0.000218864332439667,0.000109432166219833,0.046601687984716,0.0110627877128856,0.359998101298363
"20",20,0.00244504208733298,0.00188974715430016,0.015993075532008,0.00584658696507326,0.0144522047754248,0.00787879198177454,0.000668679762290828,0.000232584265144635,0.000116292132572317,0.0495230046559215,0.0116409270757876,0.371639028374151
"21",21,0.00247384873719287,0.00191201150912647,0.0161815004795458,0.00591546945362051,0.0146224757105657,0.00797161721497347,0.000676557918613985,0.000235324493430951,0.000117662246715475,0.0501064677637852,0.011791018287335,0.383430046661486
"22",22,0.00240312075582721,0.0018573466008177,0.0157188671555356,0.00574634463729905,0.014204415311792,0.00774370659725534,0.000657214951058572,0.000228596504716024,0.000114298252358012,0.0486739107666595,0.0115086170137057,0.394938663675192
