"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.00936014765426424,0.00208238180450599,0.00784857101444518,0.00282812818170344,0.000327684446394345,0.00408548511391657,0.00144286861073639,0.000639513193769607,4.75670970572434e-05,0.028662347116793,0.0105864900548335,0.210586490054833
"2",2,0.00941079843811548,0.00209365024540796,0.00789104216860616,0.0028434320972533,0.000329457652830695,0.00410759299416333,0.00145067643907709,0.000642973806330872,4.78244979915523e-05,0.0288174483397765,0.010617177915263,0.221203667970096
"3",3,0.0088839432363655,0.00197643909380464,0.00744926917334996,0.00268424507384482,0.000311013258415958,0.00387763304444411,0.00136946160560575,0.000606977488198886,4.51470858990905e-05,0.0272041290599287,0.00987088043693467,0.231074548407031
"4",4,0.0091696259864997,0.002039995843411,0.00768881682097802,0.00277056288276454,0.000321014574343864,0.00400232687044848,0.00141349965799798,0.000626496185413024,4.65988898241091e-05,0.0280789377116807,0.010169039900467,0.241243588307498
"5",5,0.0103117449411658,0.00229408667804593,0.00864649420532539,0.00311564919142735,0.000360998411266111,0.00450083503078553,0.00158955752057497,0.000704529157470958,5.24029951837901e-05,0.0315762981312459,0.0115616344168425,0.252805222724341
"6",6,0.0101656234813487,0.00226157857236103,0.00852396999988866,0.0030714992235289,0.000355882922554274,0.00443705643765247,0.0015670328686664,0.000694545703694632,5.16604242417493e-05,0.0311288496339368,0.0113096118602749,0.264114834584616
"7",7,0.0107626197228551,0.00239439422405699,0.0090245569104686,0.00325187905911902,0.00037678284744044,0.00469763130760418,0.00165905995727806,0.000735334266778923,5.46942843058701e-05,0.0329569525799072,0.0119931922841327,0.276108026868748
"8",8,0.0115319452478665,0.0025655485192882,0.00966964353081974,0.0034843274433277,0.000403715756842306,0.00503342387159841,0.00177765163899918,0.000787896880289016,5.86039001867861e-05,0.0353127567892178,0.0128629173990283,0.288970944267777
"9",9,0.0110997441177627,0.00246939535990881,0.00930723885650912,0.00335373973880002,0.000388585056635398,0.00484477820611551,0.00171102774937844,0.000758367610530372,5.64075082212672e-05,0.0339892842038617,0.0122559537081748,0.301226897975951
"10",10,0.0111129486697881,0.00247233301857511,0.00931831099640621,0.0033577294371562,0.000389047327796084,0.00485054168365116,0.00171306323368276,0.000759269784892358,5.64746120994314e-05,0.0340297187640475,0.0121771210919478,0.313404019067899
