"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.00284972118158621,0.00228244647330791,0.00502605391534558,0.00118126615723831,0.00146156660132875,0.00272291859973577,0.00750137378946811,0.000440472126427843,0.00232248939389226,0.0257883082383307,0.00939616358178051,0.209396163581781
"2",2,0.00294935212917886,0.00236224456248048,0.00520177304094751,0.0012225651683013,0.00151266537772873,0.00281811632015217,0.00776363417610544,0.000455871757671672,0.00240368744954154,0.0266899099821077,0.00969062826849214,0.219086791850273
"3",3,0.00307093189619776,0.00246072793888219,0.00540803908641918,0.0014212451324837,0.00155437799487688,0.00287885252516039,0.00792072774074415,0.000464753860654369,0.00246217767477163,0.0276418338501903,0.00993046134849266,0.229017253198765
"4",4,0.00322702514019321,0.00258695449406793,0.00567443767634723,0.00164765159265945,0.00161192363277922,0.00296754958559888,0.0081539249945618,0.000478073710882055,0.00254512194857953,0.0288926627756693,0.0101266942103734,0.239143947409139
"5",5,0.00335135453609744,0.00268780474956976,0.0058843378429794,0.00186954605209509,0.00165197333393256,0.003022660706194,0.00829399926175618,0.000485905509311601,0.00259980961908755,0.0298473916110235,0.0103542334116353,0.249498180820774
"6",6,0.00350137727044201,0.00280934493784632,0.0061387323106419,0.00211700317165154,0.00170312462845365,0.00309674713553023,0.00848531997813047,0.000496712021803935,0.00267135448008711,0.0310197159345872,0.0105086160117685,0.260006796832542
"7",7,0.00363855887694141,0.00292066889655814,0.00636997158689432,0.00236835107234425,0.00174640726873237,0.00315511939867019,0.008632714135936,0.00050491795064182,0.00272991151097112,0.0320666206976896,0.0106845165758264,0.270691313408369
"8",8,0.00375742448528449,0.00301736550004153,0.00656859236819253,0.00261781991346116,0.00177950061051382,0.00319385481887335,0.00872561660709862,0.000509911002825234,0.00277197707225868,0.0329420623785494,0.0109424732261466,0.281633786634515
"9",9,0.00391622256186212,0.00314621050537312,0.00683642355504182,0.00290597254579281,0.00182999355833448,0.0032624724528471,0.00889931502470883,0.000519597220311277,0.00284052825257788,0.0341567356768494,0.0110083810098158,0.292642167644331
"10",10,0.00404889657037902,0.00325415242168048,0.00705802732977311,0.00318606396592632,0.00186670266745006,0.00330509376441641,0.0090012052010459,0.000525060551421151,0.00288703089148284,0.0351322333635753,0.0112073207153693,0.303849488359701
