"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.00305246521353962,0.00244483162302236,0.00538363361198285,0.00126530759437122,0.00156555007439151,0.00291664123448282,0.00803506065578108,0.000471809611460455,0.0024877234058824,0.0276230230249143,0.0110717755270565,0.211071775527057
"2",2,0.00312809448951181,0.00250540589089704,0.00551702098372678,0.0012966574347625,0.00160433885996039,0.00298890527335087,0.00823414099815285,0.000483499382453815,0.00254936038021103,0.0283074236930271,0.0113636152310364,0.222435390758093
"3",3,0.00306462400483894,0.00245457004603024,0.00540507807504495,0.00127034765540162,0.00157178608210708,0.0029282590022817,0.00806706646707015,0.00047368895625145,0.00249763267841674,0.0277330529674429,0.0111617551847805,0.233597145942873
"4",4,0.00315511011832235,0.00252704370132609,0.00556466845458676,0.00130785595068631,0.00161819465084916,0.00301471880158201,0.00830525473769158,0.000487675100255912,0.00257137780134935,0.0285518993166495,0.0114653235195108,0.245062469462384
"5",5,0.00317390924498221,0.00254210061307708,0.00559782447867938,0.00131564856290831,0.00162783635749673,0.0030326814331446,0.00835474002660421,0.000490580820067507,0.00258669886944686,0.0287220204064069,0.0114864216471572,0.256548891109541
"6",6,0.00321483301185595,0.00257487796265745,0.0056700017358986,0.0013326122789192,0.00164882536205258,0.00307178423615276,0.00846246441528354,0.000496906273495297,0.00262005126024793,0.0290923565365633,0.0115825749289925,0.268131466038534
"7",7,0.00316286350641807,0.00253325367492969,0.00557834310698697,0.00131106988439343,0.00162217121289357,0.0030221271911442,0.0083256641246227,0.000488873516214501,0.00257769672185828,0.0286220629394614,0.0112761570889115,0.279407623127445
"8",8,0.00324953730170472,0.00260267390440986,0.00573120970003234,0.00134699789789633,0.00166662451773614,0.00310494430701528,0.00855381715952246,0.000502270402605411,0.00264833485010126,0.0294064100410238,0.011556394949183,0.290964018076628
"9",9,0.00327023365220339,0.00261925037249076,0.00576771185825377,0.00135557694716627,0.0016772392736125,0.00312471974262057,0.00860829654584682,0.000505469370129796,0.00266520213341165,0.0295936998957355,0.0115468668353479,0.302510884911976
"10",10,0.00372363557279567,0.00298239664144289,0.0065673769317855,0.00154352106881694,0.00190978030548536,0.00355794687049329,0.00980179480988834,0.000575550229050383,0.00303471938953838,0.0336967218192967,0.0133582814127248,0.315869166324701
