"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.00146281824136726,0.0116886803551905,0.0152521333223127,0.00096365751445521,0.00306429224021009,0.00358425133074348,0.000353572181562703,5.54623029902279e-05,5.54623029902279e-05,0.0364803297918224,0.0167494142248403,0.21674941422484
"2",2,0.00149418174900673,0.0119392911318737,0.0155791461981744,0.000984318782521022,0.00312999209981504,0.00366109935657099,0.000361152934594044,5.66514407206343e-05,5.66514407206343e-05,0.0372624851339972,0.0170901564549675,0.233839570679808
"3",3,0.00163356568241076,0.0130530414243817,0.0170324383948041,0.00107614042585353,0.00342197171386519,0.00400262302277897,0.000394842890061368,6.19361396174696e-05,6.19361396174696e-05,0.0407384958333906,0.0186204613225201,0.252460032002328
"4",4,0.00178176239824854,0.014237210442877,0.0185776174224967,0.00117376764623956,0.00373241222761069,0.00436574009428671,0.000430662949339695,6.75549724454425e-05,6.75549724454425e-05,0.0444342831259897,0.0201711563338133,0.272631188336141
"5",5,0.00192550042743349,0.0153857522305823,0.0200763077741881,0.00126845762755098,0.00403351274372324,0.0047179323269342,0.000465405316583451,7.30047555425022e-05,7.30047555425022e-05,0.0480188779580808,0.0216050854598712,0.294236273796012
"6",6,0.00204939852195451,0.0163757625972289,0.0213681362478669,0.00135007769929705,0.00429305282798053,0.00502151201824872,0.000495352249382369,7.7702313628607e-05,7.7702313628607e-05,0.0511086967892162,0.0228668376242751,0.317103111420288
"7",7,0.00210424162328834,0.0168139875680765,0.0219399600532434,0.00138620656700038,0.00440793742887889,0.00515589061251219,0.000508608164870642,7.97816729208851e-05,7.97816729208851e-05,0.0524763953637121,0.0236333388720224,0.34073645029231
"8",8,0.00216036071347966,0.0172624083551029,0.0225250880078448,0.0014231760150411,0.00452549495430336,0.00529339568184352,0.000522172494727311,8.19094109376174e-05,8.19094109376174e-05,0.0538759150442178,0.0243029898251407,0.365039440117451
"9",9,0.00225409108640249,0.0180113628989318,0.0235023715169928,0.00148492256402818,0.00472184009568674,0.00552305730649331,0.00054482770334847,8.54631691527012e-05,8.54631691527012e-05,0.0562133995101892,0.0253117671487558,0.390351207266206
"10",10,0.0024288944445211,0.0194081328600122,0.0253249657722579,0.00160007738288357,0.00508801585060818,0.00595136695648061,0.000587078751993252,9.20907846263925e-05,9.20907846263925e-05,0.0605727135880096,0.0271128754704903,0.417464082736697
"11",11,0.0025155409135572,0.0201004833187556,0.0262283886721603,0.0016571572842865,0.00526952172413403,0.00616367133795768,0.00060802173740008,9.53759588078559e-05,9.53759588078559e-05,0.0627335369058671,0.0280678672562791,0.445531949992976
"12",12,0.00264172561498773,0.0211087648666792,0.0275440585448958,0.00174028369897296,0.00553385176220179,0.00647285375805051,0.000638521357177129,0.00010016021289053,0.00010016021289053,0.0658803800287462,0.0293928595220609,0.474924809515037
"13",13,0.0027992386002999,0.0223673757350977,0.0291863740315629,0.00184404817744875,0.00586380787361399,0.00685879789741727,0.00067659321618623,0.000106132269205683,0.000106132269205683,0.0698085000700381,0.0310048918930769,0.505929701408114
"14",14,0.0030413258179959,0.0243017788110952,0.031710506159199,0.00200352743460394,0.00637092896471179,0.00745196894741175,0.000735107188235975,0.000115310931487996,0.000115310931487996,0.0758457651862295,0.0331905728419241,0.539120274250038
"15",15,0.00320516101157058,0.0256109074194692,0.0334187404050013,0.00211145678013417,0.00671412875409571,0.0078534039951753,0.00077470716393412,0.000121522692381823,0.000121522692381823,0.0799315509141439,0.0347549776611664,0.573875251911204
"16",16,0.00336661487926798,0.0269010079926342,0.0351021456606141,0.00221781738492062,0.00705234017363245,0.0082490042302443,0.000813731558496053,0.000127644166038597,0.000127644166038597,0.0839579502118868,0.036309660909438,0.610184912820642
"17",17,0.00356208919451013,0.0284629496774601,0.037140266483044,0.00234658956415596,0.00746181717522974,0.00872796262351533,0.000860978904834201,0.000135055514483796,0.000135055514483796,0.088832764651717,0.0379304604561392,0.648115373276781
"18",18,0.00365531622273012,0.0292078822347061,0.0381123018483709,0.00240800452587434,0.00765710791680906,0.00895639093436716,0.000883512451939506,0.000138590188539531,0.000138590188539531,0.0911576965118761,0.039337074703308,0.687452447980089
"19",19,0.00374175274179558,0.0298985550837315,0.0390135356964468,0.00246494611900278,0.00783817398992249,0.00916818088866499,0.000904404691144902,0.000141867402532534,0.000141867402532534,0.093313284015774,0.0405061868589146,0.727958634839004
"20",20,0.00390322165961989,0.0311887759152566,0.040697097872814,0.0025713166383278,0.00817641693626535,0.00956381800011129,0.000943432723415233,0.000147989446810233,0.000147989446810233,0.0973400586394305,0.042118520273864,0.770077155112868
"21",21,0.00403627258849767,0.0322519222000335,0.0420843587426298,0.00265896630237525,0.00845513025647379,0.00988982430451799,0.000975591952670053,0.000153034031791381,0.000153034031791381,0.100658134410781,0.043530052350232,0.8136072074631
"22",22,0.00423855984331335,0.0338683028238214,0.044193514953978,0.0027922266266377,0.00887887891348104,0.0103854760141848,0.00102448602847858,0.000160703690741738,0.000160703690741738,0.105702852585378,0.0454331037671813,0.859040311230281
"23",23,0.00450489590106594,0.0359964667734464,0.0469704785893131,0.00296768023814297,0.00943679615294382,0.0110380624684886,0.00108886109457044,0.000170801740324775,0.000170801740324775,0.112344844698621,0.0476053410305877,0.906645652260869
"24",24,0.00476614104921981,0.0380839517013488,0.0496943616506331,0.00313978012247182,0.00998404902253628,0.0116781749878988,0.00115200565644649,0.000180706769638666,0.000180706769638666,0.118859877729832,0.0494316593342269,0.956077311595096
"25",25,0.00498788535505768,0.0398558043062903,0.0520063875882791,0.00328585812489582,0.010448556051827,0.0122215010832456,0.00120560262136465,0.000189114136684651,0.000189114136684651,0.124389823404329,0.0510678621103092,1.00714517370541
"26",26,0.00515999071549622,0.0412310158593679,0.0538008510620459,0.00339923558982927,0.010809080077011,0.0126431999995808,0.00124720154734743,0.00019563945840744,0.00019563945840744,0.128681853767493,0.0529458190108236,1.06009099271623
"27",27,0.00531672551703363,0.0424834086337379,0.0554350527842369,0.00350248742591315,0.0111374060593785,0.0130272374042957,0.00128508531454367,0.000201582010124498,0.000201582010124498,0.132590567159388,0.0548350534687719,1.114926046185
"28",28,0.00540497605479478,0.0431885764378388,0.0563552005713199,0.00356062403609703,0.0113222721147834,0.0132434721342602,0.00130641601324423,0.000204928002077527,0.000204928002077527,0.134791393366493,0.0564319821000026,1.171358028285
"29",29,0.00555844924223722,0.0444149072152226,0.0579553949427578,0.00366172722592879,0.0116437657112268,0.0136195178115481,0.00134351142821847,0.000210746890700937,0.000210746890700937,0.138618767358541,0.0580760005693116,1.22943402885431
"30",30,0.00573108119373681,0.0457943265054041,0.059755348939436,0.00377545159208255,0.0120053928323776,0.0140425070007674,0.00138523763450511,0.000217292177961585,0.000217292177961585,0.142923930054233,0.0597974614363623,1.28923149029068
"31",31,0.0060151413974874,0.0480641156216292,0.062717114097025,0.00396258129976658,0.012600438377675,0.0147385218128009,0.00145389673588558,0.000228062233080091,0.000228062233080091,0.15000793380843,0.0620992616468382,1.35133075193752
"32",32,0.00633179576145139,0.0505943490701755,0.066018723579114,0.00417118298977129,0.0132637617372583,0.0155144000410918,0.00153043404660673,0.000240068085742233,0.000240068085742233,0.157904783396953,0.0642538753168011,1.41558462725432
"33",33,0.00661442229617995,0.0528526824235043,0.0689655405288905,0.00435736824250717,0.0138558040517134,0.0162069020242893,0.00159874662135155,0.00025078378374142,0.00025078378374142,0.164953033755919,0.0660602521618557,1.48164487941617
"34",34,0.00687806586177783,0.0549593319571442,0.0717144307863091,0.00453104812695317,0.0144080810943403,0.0168528912347826,0.0016624708955008,0.000260779748313852,0.000260779748313852,0.171527879453436,0.067719709712535,1.54936458912871
"35",35,0.0071197492935122,0.0568905085728037,0.07423435282335,0.00469026138292984,0.0149143563399639,0.0174450729134872,0.00172088726999584,0.000269943101175818,0.000269943101175818,0.177555074798394,0.0694903458627456,1.61885493499145
"36",36,0.0073388864120852,0.0586415283923016,0.0765191948179499,0.00483462185440684,0.0153734018679699,0.0179820107822182,0.00177385406168884,0.000278251617519818,0.000278251617519818,0.18302000142366,0.0716047706826062,1.69045970567406
"37",37,0.00754291361290492,0.0602718120917427,0.078646492646402,0.00496902839902268,0.0158007953407771,0.0184819257719045,0.00182316869316659,0.000285987245986917,0.000285987245986917,0.188108111047894,0.0738730925052312,1.76433279817929
"38",38,0.00777085048048892,0.0620931464933854,0.0810230855785575,0.00511918586155431,0.0162782744662374,0.019040425110961,0.00187826243841201,0.000294629402103845,0.000294629402103845,0.193792489233804,0.0759626253515649,1.84029542353085
"39",39,0.00793154845768804,0.063377207107403,0.0826986095114393,0.00522504851004094,0.0166149024563892,0.0194341732351882,0.00191710412958336,0.000300722216405234,0.000300722216405234,0.197800037840542,0.0782689167490512,1.91856434027991
"40",40,0.00807828139190301,0.0645496797476231,0.084228526361074,0.00532171143826786,0.0169222766598158,0.0197937036948524,0.0019525703838249,0.000306285550403906,0.000306285550403906,0.201459320778169,0.0802685508912065,1.99883289117111
"41",41,0.00841059725114283,0.067205056708184,0.0876934310545698,0.00554063041662964,0.0176184075118727,0.0206079562978239,0.00203289317444684,0.000318885203834799,0.000318885203834799,0.209746742822339,0.0824426738627169,2.08127556503383
"42",42,0.00874942068766564,0.0699124326038117,0.0912261872647602,0.00576383637718258,0.0183281703504655,0.0214381540072186,0.00211478888659217,0.000331731590053674,0.000331731590053674,0.218196453357804,0.0843010058307773,2.16557657086461
"43",43,0.00893053402653633,0.070984390010791,0.0925690600453986,0.00596175724880221,0.0186239049217574,0.0217509310367081,0.00214544552058964,0.000352563803585373,0.00315864942909949,0.224477236043268,0.0850008101848462,2.25057738104945
"44",44,0.00909787682572418,0.0719261470396884,0.0937390355763111,0.00615483132588008,0.0188862969473157,0.022022926832178,0.00217206862878478,0.000373624468726789,0.00613660663435904,0.230509414278968,0.0856450014069618,2.33622238245641
"45",45,0.00930182277509383,0.0731350406896407,0.0952538136905685,0.0063773273162088,0.019219714772387,0.0223757622645858,0.00220665290291486,0.000397016092518584,0.00930640602064488,0.237573556524563,0.0859499538686649,2.42217233632508
"46",46,0.00944985906999526,0.073882429263316,0.0961641926809013,0.00656608350683834,0.0194327235010562,0.0225864538554271,0.00222720747994638,0.000418837172462888,0.0125849974038521,0.243312783933796,0.0864537257375119,2.50862606206259
"47",47,0.00954810449553843,0.0742227933932393,0.0965420946435129,0.00672396002655233,0.0195393866227225,0.0226719449691044,0.0022354066981548,0.000439111713952932,0.0159306136765313,0.247853416239309,0.0869947324684707,2.59562079453106
"48",48,0.00972407848130673,0.075147914425029,0.0976776130529243,0.00694065356838225,0.0198007735430281,0.0229352050024882,0.00226112298320922,0.000463685614265061,0.0195522503913334,0.254503297061966,0.0871257481201119,2.68274654265117
"49",49,0.00987473691931142,0.0758550424507887,0.0985263407642323,0.00714396090789863,0.0200056275137309,0.0231309520844084,0.00228017111190649,0.000487884323306725,0.0232909847212009,0.260595700796785,0.0872089051455666,2.76995544779674
"50",50,0.010054032083389,0.0767590676354302,0.09962723761471,0.00737282136244224,0.0202633514951512,0.0233857208507482,0.00230502468543274,0.000514356973311668,0.0272707379188061,0.267552350619421,0.0870300727812878,2.85698552057803
"51",51,0.0103021419665278,0.0781601479718098,0.101368858305752,0.00765807822038582,0.0206534534134555,0.0237906659179916,0.00234466474814404,0.000545404200038957,0.0316499948857867,0.276473409629892,0.0858392138647239,2.94282473444275
"52",52,0.0104243166044632,0.0785795474135521,0.101833184255063,0.00785521788406434,0.0207852341388472,0.0238956302157458,0.00235472585450079,0.000570760796960729,0.0358395410087159,0.282138158171913,0.0857091772863233,3.02853391172908
"53",53,0.0106006364888373,0.0793836874691549,0.102792409005015,0.00809806319124002,0.0210197563440458,0.0241165384852336,0.00237619914777211,0.000599953332785842,0.0403911923834019,0.289378435847486,0.084253657619882,3.11278756934896
"54",54,0.0107293484385001,0.0798069845849401,0.103254621522405,0.0083096361593264,0.0211544540485564,0.024220645668215,0.00238615025019938,0.000627356858993352,0.0449442757994325,0.295433473330568,0.0831751010093886,3.19596267035835
"55",55,0.010811996930214,0.0798674677133239,0.103244194241934,0.00848976268048414,0.0211938307091953,0.0242137217000667,0.00238515133794367,0.000652818246975325,0.0494561034650175,0.300315047025154,0.0835935707048583,3.2795562410632
"56",56,0.0109497191123765,0.080313565711641,0.103728831840193,0.00871757751130555,0.0213364346266288,0.0243227319303181,0.00239556020247987,0.000682394347703667,0.0543792565741261,0.306826071856773,0.0817073660084232,3.36126360707163
"57",57,0.0110482311413027,0.080449472348222,0.103809176437767,0.00891890870960549,0.0213975968484416,0.0243367565575606,0.00239660075581339,0.000710367754647885,0.0592774882600146,0.312344598813376,0.0803133404422738,3.4415769475139
"58",58,0.0111398605988996,0.0805145316354938,0.103794713983524,0.00911902680520718,0.0214408072958979,0.0243283833206383,0.0023954235017363,0.000738670189274717,0.0642945944206654,0.317766011751337,0.0794715007024543,3.52104844821636
