"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.000834732262733398,0.00666994594771805,0.0087033695640449,0.000549894713364656,0.00174858606695811,0.00204529184755055,0.000201759930802859,3.16486165965269e-05,3.16486165965269e-05,0.0208168775663656,0.00771002221059652,0.207710022210597
"2",2,0.000963743299989885,0.00770081139233624,0.0100485083411268,0.000634883027007555,0.00201883667580819,0.00236139946016479,0.000232942693362484,3.654003033137e-05,3.654003033137e-05,0.0240342049504586,0.00900792848045422,0.216717950691051
"3",3,0.00101051424200217,0.00807453560196999,0.0105361674521554,0.000665694216295272,0.00211681182447849,0.00247599935125651,0.000244247518209056,3.83133361896559e-05,3.83133361896559e-05,0.0252005968787462,0.0094136831752451,0.226131633866296
"4",4,0.00103943419858624,0.00830562113183124,0.010837702544501,0.000684745751675292,0.00217739296575884,0.00254686009795774,0.000251237649895251,3.94098274345492e-05,3.94098274345492e-05,0.0259218139950747,0.00966556716181796,0.235797201028114
"5",5,0.00105490896818636,0.00842927260835171,0.010999050853128,0.000694940031174904,0.0022098093077648,0.00258477695048507,0.000254977997049785,3.9996548556829e-05,3.9996548556829e-05,0.0263077298132543,0.00979946476108459,0.245596665789198
"6",6,0.00113399876268822,0.00906124129806797,0.0118236837815833,0.000747041838927312,0.00237548555975447,0.00277856568867208,0.000274094487663977,4.29952137512122e-05,4.29952137512122e-05,0.0282801018448598,0.0104510449392121,0.25604771072841
"7",7,0.0011114210658599,0.00888083373004642,0.0115882765160748,0.000732168379879272,0.00232819010004775,0.00272324498127758,0.000268637319236279,4.21391873311811e-05,4.21391873311811e-05,0.0277170504670844,0.0102833893885884,0.266331100116999
"8",8,0.00101524594129528,0.00811234434608459,0.0105855027054485,0.000668811307298789,0.00212672372536737,0.00248759313578039,0.00024539119908085,3.84927371107217e-05,3.84927371107217e-05,0.0253185978345772,0.00921504621159035,0.275546146328589
"9",9,0.00106073335102777,0.00847581246366269,0.0110597790154555,0.000698776946885596,0.0022220101476506,0.00259904806863203,0.000256385786267377,4.02173782380199e-05,4.02173782380199e-05,0.0264529805360576,0.00965562339917439,0.285201769727764
"10",10,0.00104343695504285,0.0083376052426647,0.0108794374459444,0.000687382638630126,0.00218577788686702,0.00255666779979694,0.000252205140792348,3.95615907125253e-05,3.95615907125253e-05,0.0260216362911635,0.009378731504429,0.294580501232193
"11",11,0.0010781461055484,0.00861494945002181,0.0112413338019264,0.000710247908394444,0.00225848615475067,0.00264171344345271,0.000260594556317386,4.08775774615507e-05,4.08775774615507e-05,0.026887226575335,0.00969928045225429,0.304279781684447
"12",12,0.00104363622956306,0.00833919754996834,0.010881515189757,0.000687513914261922,0.00218619532448755,0.0025571560695929,0.00025225330667164,3.9569146144571e-05,3.9569146144571e-05,0.0260266058765916,0.00920664043491935,0.313486422119366
"13",13,0.00111611993802558,0.00891838016829922,0.0116372694960014,0.000735263845429177,0.00233803323510573,0.00273475833156032,0.000269773065589122,4.23173436218231e-05,4.23173436218231e-05,0.0278342327672541,0.00997635765818024,0.323462779777546
"14",14,0.00114980718350512,0.00918755882175181,0.0119885109180629,0.00075745591709579,0.00240860082990172,0.00281730006574477,0.000277915480373275,4.35945851565922e-05,4.35945851565922e-05,0.0286743383867485,0.0102804733004494,0.333743253077996
"15",15,0.00127515904944749,0.0101891855799453,0.0132954971980307,0.000840033686602847,0.00267118625524071,0.00312444184153721,0.00030821379868162,4.83472625382934e-05,4.83472625382934e-05,0.0318004119345624,0.011587007691314,0.34533026076931
"16",16,0.00134101711008897,0.0107154258180569,0.0139821689203589,0.000883418854513587,0.00280914484672665,0.00328580969628435,0.000324132097699229,5.0844250619487e-05,5.0844250619487e-05,0.0334428058449676,0.0121984862780537,0.357528747047364
"17",17,0.00134742334249389,0.0107666149547142,0.0140489637605998,0.000887639073965169,0.00282256453735687,0.00330150648374095,0.000325680523541177,5.10871409476356e-05,5.10871409476356e-05,0.0336025669583073,0.0122057534722533,0.369734500519617
