"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)","NA"
"1",1,0.0055198239772212,0.00317808047173343,0.00607738195471831,0.0134371472576799,0.000669069572996509,0.000390290584247963,5.57557977497091e-05,0.000446046381997674,0,0.0297735959983447,0.00798055007416624,0.207980550074166
"2",2,0.00556281370602473,0.00320283213377182,0.00612471408037067,0.013541799021737,0.000674280449215118,0.000393330262042152,5.61900374345932e-05,0.000449520299476746,0,0.0300054799900728,0.00814313181252565,0.216123681886692
"3",3,0.00565159389452555,0.00325394799987836,0.00622246196467966,0.0137579204907137,0.000685041684184915,0.000399607649107867,5.70868070154096e-05,0.000456694456123277,0,0.0304843549462288,0.00830281655372702,0.224426498440419
"4",4,0.00561104195761138,0.00323059991498838,0.00617781387252163,0.0136592031493368,0.000680126297892288,0.000396740340437168,5.6677191491024e-05,0.000453417531928193,0,0.0302656202562069,0.00830226569493342,0.232728764135352
"5",5,0.00582504820217346,0.00335381563155443,0.00641343690946372,0.014180167845695,0.000706066448748298,0.000411872095103173,5.88388707290248e-05,0.000470710965832199,0,0.0314199569692993,0.00858387600255058,0.241312640137903
"6",6,0.00597564230918025,0.00344052132952804,0.0065792425424308,0.0145467656213378,0.000724320279900637,0.000422520163275371,6.03600233250531e-05,0.000482880186600425,0,0.0322322524555784,0.00878898039755505,0.250101620535458
"7",7,0.00658981898202305,0.00379413820177086,0.00725545726303549,0.0160418825723996,0.000798765937214914,0.0004659467967087,6.65638281012429e-05,0.000532510624809944,0,0.0355450842060638,0.00924321224107463,0.259344832776533
"8",8,0.00676964212823722,0.00389767274050023,0.00745344436341271,0.016479633867729,0.000820562682210571,0.000478661564622833,6.83802235175476e-05,0.000547041788140382,0,0.0365150393583705,0.00946563032773864,0.268810463104271
"9",9,0.00678386839198129,0.0039058636196256,0.00746910762349457,0.0165142654794696,0.000822287077815914,0.000479667462059283,6.85239231513262e-05,0.00054819138521061,0,0.0365917749628082,0.00970185245299992,0.278512315557271
"10",10,0.00697973458167036,0.00401863506217385,0.00768475827678859,0.0169910710523491,0.000846028434141861,0.000493516586582752,7.05023695118218e-05,0.000564018956094575,0,0.0376482653193129,0.00993832874040559,0.288450644297677
"11",11,0.00724088405870881,0.00416899385198388,0.00797228648888144,0.0176267985671599,0.000877682916207128,0.000511981701120825,7.31402430172608e-05,0.000585121944138087,0,0.0390568897712173,0.0101778408586602,0.298628485156337
"12",12,0.00745727000684062,0.00429357970090825,0.0082105296034912,0.0181535562792787,0.00090391151598068,0.000527281717655397,7.53259596650568e-05,0.000602607677320455,0,0.0402240624611404,0.0104068134902342,0.309035298646571
"13",13,0.00755865337709892,0.0043519519443903,0.00832215371822004,0.0184003582210186,0.000916200409345323,0.000534450238784771,7.63500341121103e-05,0.000610800272896883,0,0.0407709182158669,0.0106520993150493,0.31968739796162
"14",14,0.00773669220733963,0.00445445914968041,0.00851817626868709,0.0188337658784733,0.000937780873616924,0.000547038842943206,7.81484061347438e-05,0.000625187249077951,0,0.0417312488759532,0.0108918289035257,0.330579226865146
