"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.00559850544779808,0.00322338192448981,0.00616401104858578,0.0136286849789832,0.000678606720945222,0.000395853920551379,5.65505600787685e-05,0.000452404480630149,0.0301979990820624,0.00819152356969811,0.208191523569698
"2",2,0.00564625678153781,0.00325087511664299,0.00621658574936993,0.0137449281247537,0.000684394761398522,0.000399230277482471,5.70328967832102e-05,0.000456263174265683,0.0304555668822343,0.00836101081715973,0.216552534386858
"3",3,0.005740397754271,0.00330507749488331,0.00632023591126808,0.0139740995836294,0.000695805788396484,0.000405886709897949,5.7983815699707e-05,0.000463870525597657,0.0309633575836436,0.00852946999230973,0.225082004379168
"4",4,0.00570307006349072,0.00328358579413103,0.00627913774667162,0.0138832311646593,0.000691281219817057,0.000403247378226616,5.76067683180881e-05,0.000460854146544706,0.0307620142818591,0.00853217108340646,0.233614175462574
"5",5,0.00592436787298634,0.00341099968444669,0.0065227888702577,0.0144219460342395,0.000718105196725617,0.000418894698089943,5.98420997271348e-05,0.000478736797817079,0.03195568125429,0.00882774948208113,0.242441924944655
"6",6,0.00608137126931878,0.00350139557930476,0.00669565119551261,0.014804146221271,0.000737135911432579,0.000429995948335671,6.14279926193816e-05,0.000491423940955054,0.0328025480587498,0.00904428591946725,0.251486210864122
"7",7,0.00671055860377664,0.00386365495368959,0.00738839280617833,0.0163358042778805,0.000813401042882016,0.000474483941681176,6.77834202401681e-05,0.000542267361921345,0.0361963464082498,0.00952978019379841,0.261015991057921
"8",8,0.00689818736007589,0.00397168363155886,0.00759497396210378,0.0167925571088716,0.000836143922433441,0.000487750621419507,6.96786602027868e-05,0.000557429281622295,0.0372084045482882,0.00976563501545277,0.270781626073374
"9",9,0.00691711079421823,0.00398257894212566,0.00761580885424029,0.0168386232465313,0.000838437672026452,0.00048908864201543,6.98698060022044e-05,0.000558958448017636,0.0373104764051772,0.0100087898856512,0.280790415959025
"10",10,0.00712116001702921,0.00410006182798653,0.00784046910965844,0.0173353491323641,0.000863170911155056,0.000503516364840449,7.19309092629214e-05,0.000575447274103372,0.0384111055464001,0.0102595388751281,0.291049954834153
"11",11,0.0073920192073553,0.00425601105878034,0.00813868781415888,0.017994713423966,0.000896002328164278,0.000522668024762495,7.46668606803566e-05,0.000597334885442854,0.0398721036033105,0.010516104067921,0.301566058902074
"12",12,0.00761743725400889,0.00438579720685361,0.00838687536047445,0.0185434583658196,0.000923325727758652,0.00053860667452588,7.69438106465544e-05,0.000615550485172436,0.0410879948852601,0.01076044593296,0.312326504835034
"13",13,0.00772550454509635,0.00444801776838882,0.00850585853955054,0.0188065312663457,0.000936424793345012,0.000546247796117923,7.80353994454177e-05,0.000624283195563343,0.0416709033038531,0.0110167606422593,0.323343265477293
"14",14,0.00791193053836567,0.00455535394633176,0.0087111154412309,0.0192603561590518,0.000959021883438262,0.000559429432005653,7.99184902865219e-05,0.000639347922292176,0.0426764738130028,0.011270587818535,0.334613853295828
"15",15,0.00812070287317541,0.00467555619970707,0.0089409758906679,0.0197685797215685,0.000984327620990959,0.000574191112244725,8.20273017492466e-05,0.000656218413993974,0.0438025791340978,0.0115302745797607,0.346144127875589
"16",16,0.0081428689642697,0.00468831849457954,0.00896538098086262,0.0198225395998889,0.000987014419911478,0.000575758411615028,8.22512016592899e-05,0.00065800961327432,0.0439221416860609,0.0117151153001953,0.357859243175784
"17",17,0.0084241881680347,0.00485029015735333,0.009275116265816,0.0205073671565289,0.00102111371733754,0.000595649668446897,8.50928097781283e-05,0.000680742478225027,0.0454395604215206,0.0120221938385825,0.369881437014367
"18",18,0.00880921488682694,0.00507197220756704,0.00969903457236503,0.0214446544214676,0.00106778362264569,0.000622873779876651,8.89819685538075e-05,0.000711855748430461,0.0475163712077333,0.0123162713391168,0.382197708353483
"19",19,0.00914517607807607,0.00526540440858927,0.0100689312374777,0.0222624993415791,0.00110850619128195,0.000646628611581135,9.23755159401623e-05,0.000739004127521299,0.0493285255120467,0.0125210868813867,0.39471879523487
"20",20,0.00940571803555592,0.005415413414411,0.0103557905644,0.0228967479451412,0.00114008703461284,0.000665050770190822,9.50072528844032e-05,0.000760058023075227,0.0507338730402714,0.012741703329819,0.407460498564689
"21",21,0.00949844171958648,0.00546879977794375,0.0104578802771205,0.0231224692365691,0.00115132626904078,0.000671606990273791,9.59438557533988e-05,0.000767550846027192,0.051234018972315,0.0131089243672303,0.420569422931919
"22",22,0.00960884479901147,0.00553236518730965,0.01057943518275,0.0233912282480987,0.00116470846048624,0.000679413268616972,9.70590383738533e-05,0.000776472306990827,0.0518295264916377,0.0134046084591905,0.43397403139111
"23",23,0.00978877023420612,0.00563595861969445,0.010777534904328,0.0238292285499361,0.0011865176041462,0.00069213526908528,9.8876467012183e-05,0.000791011736097465,0.0528000333845058,0.013679540789042,0.447653572180152
"24",24,0.0100581669108388,0.00579106579714965,0.0110741433664792,0.024485032580931,0.00121917174676834,0.0007111835189482,0.000101597645564029,0.000812781164512231,0.0542531427311914,0.0139639729067216,0.461617545086873
"25",25,0.0103011685156801,0.00593097581205825,0.011341690587971,0.0250765819422112,0.0012486264867491,0.000728365450603642,0.000104052207229092,0.000832417657832736,0.0555638786603351,0.0142467223867979,0.475864267473671
"26",26,0.0105538240384148,0.00607644414332977,0.011619866870578,0.0256916322551311,0.00127925139859574,0.000746229982514179,0.000106604283216311,0.000852834265730492,0.0569266872375104,0.0145298270127523,0.490394094486424
"27",27,0.0108348068508808,0.00623822212626473,0.0119292317853133,0.026375640919821,0.00131330992131889,0.000766097454102683,0.000109442493443241,0.000875539947545926,0.0584422914986906,0.014805787741663,0.505199882228087
"28",28,0.011237652742598,0.0064701637002837,0.0123727691812443,0.0273563061713749,0.00136213972637551,0.000794581507052381,0.000113511643864626,0.000908093150917009,0.0606152178237103,0.0149730925742662,0.520172974802353
"29",29,0.0115956991485503,0.00667631163098355,0.0127669818908282,0.0282279140888953,0.00140553929073337,0.000819897919594468,0.000117128274227781,0.000937026193822252,0.0625464984376353,0.0150645013148041,0.535237476117157
"30",30,0.0118070119272473,0.00679797656417272,0.0129996393946461,0.0287423219643092,0.00143115296087846,0.000834839227179103,0.000119262746739872,0.000954101973918977,0.0636863067590917,0.0154074471376176,0.550644923254775
"31",31,0.0121508372037062,0.00699593657183087,0.0133781944970099,0.0295793107686182,0.00147282875196439,0.00085915010531256,0.000122735729330366,0.000981885834642929,0.0655408794624155,0.0154532652112719,0.566098188466046
"32",32,0.0123582809984592,0.0071153739082038,0.0136065922104248,0.0300843002083704,0.00149797345435869,0.000873817848375901,0.000124831121196558,0.000998648969572461,0.0666598187189618,0.0158378750170746,0.581936063483121
"33",33,0.0123519074326048,0.00711170427937855,0.0135995748500397,0.0300687847601795,0.0014972009009218,0.00087336719220438,0.000124766741743483,0.000998133933947866,0.06662544009102,0.0164992526033788,0.5984353160865
"34",34,0.0124885944854892,0.00719040288558474,0.0137500686759427,0.0304015279899284,0.00151376902854415,0.00088303193331742,0.000126147419045346,0.00100917935236277,0.0673627217702148,0.0168559038989827,0.615291219985483
"35",35,0.0126759207427152,0.00729825739732091,0.0139563167773329,0.0308575444342866,0.00153647524154124,0.000896277224232388,0.00012803960346177,0.00102431682769416,0.0683731482485852,0.0171728390106237,0.632464058996106
"36",36,0.0130477555876817,0.007512344126241,0.0143657106975486,0.0317627181477908,0.0015815461318402,0.000922568576906785,0.000131795510986684,0.00105436408789347,0.0703788028668892,0.0174509104881417,0.649914969484248
"37",37,0.0134593502127038,0.00774932284973856,0.0148188805372193,0.0327646808208244,0.00163143638941864,0.000951671227160872,0.000135953032451553,0.00108762425961243,0.0725989193291296,0.0176458218609071,0.667560791345155
"38",38,0.0139199760666987,0.00801453167476593,0.0153260342552541,0.0338860023441857,0.00168726982626651,0.000984240731988794,0.000140605818855542,0.00112484655084434,0.0750835072688597,0.017614635436131,0.685175426781286
"39",39,0.0143152519350685,0.00824211475049402,0.0157612369790149,0.0348482395591062,0.00173518205273558,0.00101218953076242,0.000144598504394632,0.00115678803515705,0.0772156013467333,0.0174662653508913,0.702641692132178
"40",40,0.0145090920861671,0.00835371968597502,0.0159746569433557,0.0353201130582452,0.00175867782862631,0.00102589540003202,0.00014655648571886,0.00117245188575088,0.0782611633738711,0.0180181602548728,0.72065985238705
"41",41,0.0146849512501369,0.00845497193189705,0.0161682796592417,0.0357482146594243,0.00177999409092569,0.00103832988637332,0.000148332840910474,0.00118666272728379,0.0792097370461933,0.0185614337078174,0.739221286094868
"42",42,0.0147657832340455,0.00850151155899592,0.0162572764900097,0.0359449874687371,0.00178979190715703,0.00104404527917493,0.000149149325596419,0.00119319460477136,0.079645739868488,0.0191706659271591,0.758391952022027
"43",43,0.014907916493161,0.00858334585969881,0.0164137666439854,0.0362909886348669,0.00180702018098922,0.00105409510557704,0.000150585015082435,0.00120468012065948,0.0804123980540203,0.0195933445241987,0.777985296546226
