"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.00144894625118566,0.000680117628107553,0.00131587975872983,0.00316402548728296,0.0002365626532548,0.0137354190546069,2.95703316568501e-05,0.000221777487426376,0.00167072373861203,0.0225030223908629,0.0113929329265805,0.21139293292658
"2",2,0.00149963392322324,0.000703909800696621,0.00136191244047825,0.00327471081193645,0.00024483819154665,0.0142159174966774,3.06047739433313e-05,0.000229535804574985,0.00172916972779822,0.0232902329708752,0.011793699762317,0.223186632688897
"3",3,0.00150964894237444,0.00070861072805331,0.00137100771297271,0.00329658034355235,0.000246473296714194,0.0143108557904679,3.08091620892743e-05,0.000231068715669558,0.001740717658044,0.0234457723499378,0.0119547391280709,0.235141371816968
"4",4,0.00159284168187431,0.000747660381287941,0.00144656030292667,0.0034782461216439,0.000260055784795805,0.0150994890047065,3.25069730994756e-05,0.000243802298246068,0.00183664398012038,0.024737806528701,0.0125412085822752,0.247682580399244
"5",5,0.00170425906584324,0.00079995833702846,0.00154774547816376,0.00372154530704544,0.000278246378096855,0.0161556803282487,3.47807972621069e-05,0.000260855979465802,0.00196511504530904,0.0264681867164634,0.0132267349593341,0.260909315358578
"6",6,0.00179790179610186,0.000843913087966178,0.00163278836584761,0.00392603045271222,0.00029353498711867,0.0170433751895778,3.66918733898338e-05,0.000275189050423754,0.00207309084652561,0.0279225156496635,0.0137688273447552,0.274678142703333
"7",7,0.00188254620750802,0.000883644138218048,0.00170965931090014,0.00411086620823179,0.000307354482858451,0.0178457696609689,3.84193103573064e-05,0.000288144827679798,0.00217069103518781,0.0292370951819102,0.0142634363901505,0.288941579093483
"8",8,0.00192373203908436,0.000902976263243677,0.00174706277018885,0.00420080261595971,0.00031407870025867,0.0182361945337691,3.92598375323337e-05,0.000294448781492503,0.00221818082057686,0.029876736362106,0.0147345307299533,0.303676109823437
"9",9,0.00197799762167063,0.000928447863233151,0.00179634477886414,0.00431930092895422,0.00032293838721153,0.0187506101074695,4.03672984014413e-05,0.00030275473801081,0.00228075235968144,0.0307195140834969,0.015196409098317,0.318872518921754
"10",10,0.00203090710759778,0.000953282928056099,0.00184439523036941,0.00443483796965228,0.000331576670628208,0.0192521704383504,4.1447083828526e-05,0.000310853128713945,0.00234176023631172,0.0315412307935083,0.0156419570028818,0.334514475924636
"11",11,0.00212452044653972,0.000997223883069664,0.00192941142593913,0.00463925893428061,0.000346860481067709,0.0201395866819939,4.33575601334636e-05,0.000325181701000977,0.0024497021475407,0.0329951032615659,0.0162323926114569,0.350746868536092
"12",12,0.00220912514217797,0.00103693629122639,0.0020062463025902,0.00482400796353148,0.000360673492600484,0.0209416046641156,4.50841865750605e-05,0.000338131399312954,0.00254725654149092,0.0343090659836211,0.0167868962805377,0.36753376481663
"13",13,0.00229367919816334,0.00107662492975014,0.00208303519016875,0.00500864641231587,0.000374478236434831,0.0217431426029974,4.68097795543539e-05,0.000351073346657654,0.002644752544821,0.0356222422408633,0.0173412314661537,0.384874996282784
"14",14,0.00238476295979778,0.00111937853214998,0.00216575411655105,0.00520754360608903,0.000389349054660862,0.0226065794862463,4.86686318326077e-05,0.000365014738744558,0.00274977769854234,0.0370368288246145,0.0179046643629811,0.402779660645765
"15",15,0.00250971181947317,0.00117802799689557,0.00227922808095012,0.00548039111599242,0.000409748868485414,0.0237910436764344,5.12186085606768e-05,0.000384139564205076,0.00289385138367824,0.0389773611146751,0.018407162328359,0.421186822974124
"16",16,0.00262343571266076,0.00123140859982036,0.00238250794313069,0.00572872696438165,0.000428316034720123,0.0248690997659372,5.35395043400153e-05,0.000401546282550116,0.00302498199521087,0.0407435628027517,0.0187670530363369,0.439953876010461
"17",17,0.00268392202368528,0.00125980013356656,0.00243743938885704,0.00586080931702703,0.000438191350805759,0.0254424853061595,5.47739188507199e-05,0.0004108043913804,0.00309472641506568,0.0416829522453979,0.0194901518349493,0.45944402784541
"18",18,0.00278488292900622,0.00130718994626822,0.00252912837430156,0.00608127496742173,0.000454674763919381,0.0263995534800691,5.68343454899226e-05,0.00042625759117442,0.00321114052018064,0.0432509369178312,0.0199659652049838,0.479409993050394
"19",19,0.00285520714855822,0.00134019927381304,0.00259299424716001,0.00623484009991283,0.000466156269152361,0.027066198377659,5.82695336440451e-05,0.000437021502330339,0.00329222865088855,0.0443431151031184,0.0206435153439468,0.500053508394341
"20",20,0.00290507047398936,0.00136360450819909,0.00263827828760258,0.00634372532075227,0.00047429722024316,0.0275388823503685,5.9287152530395e-05,0.000444653643977963,0.00334972411796732,0.0451175230756306,0.021334367116872,0.521387875511213
"21",21,0.00299569594142401,0.00140614299291331,0.00272058100802793,0.00654162174964017,0.000489093214926368,0.0283979747916623,6.1136651865796e-05,0.00045852488899347,0.00345422083041748,0.0465249920698708,0.0219349537412401,0.543322829252453
"22",22,0.00306881610149209,0.00144046470070037,0.00278698605135506,0.00670129230325822,0.000501031200243605,0.0290911240641444,6.26289000304506e-05,0.00046971675022838,0.00353853285172046,0.047660592923173,0.0225514439293118,0.565874273181765
"23",23,0.00319492970829443,0.00149966088348514,0.0029015177963082,0.00697668324056129,0.000521621176864395,0.030286629581689,6.52026471080494e-05,0.000489019853310371,0.00368394956160479,0.0496192144492256,0.0231341638947462,0.589008437076511
"24",24,0.00330851113551492,0.00155297461462945,0.0030046682761309,0.00722470798979788,0.000540165083349373,0.0313633351519731,6.75206354186717e-05,0.000506404765640038,0.00381491590115496,0.0513832035536092,0.0236923075248445,0.612700744601355
"25",25,0.00343569178108059,0.00161267165234395,0.00312016906649155,0.00750242899133923,0.000560929270380503,0.032568955761468,7.01161587975629e-05,0.000525871190981722,0.00396156297206231,0.0533583968449454,0.0241184118736372,0.636819156474992
"26",26,0.0035496434959385,0.00166615919197113,0.00322365582794415,0.0077512623278657,0.000579533631989958,0.033649171507417,7.24417039987448e-05,0.000543312779990586,0.00409295627592909,0.0551281367430448,0.0245614854348693,0.661380641909862
"27",27,0.00362558136553749,0.00170180349810943,0.00329261981155956,0.00791708583903084,0.000591931651516324,0.0343690315161667,7.39914564395405e-05,0.000554935923296555,0.00418051728883405,0.0563074983504904,0.0254106081569355,0.686791250066797
"28",28,0.00371310155786184,0.00174288440471066,0.00337210243520106,0.00810820136104523,0.000606220662508054,0.035198687216874,7.57775828135068e-05,0.000568331871101302,0.00428143342896314,0.0576667405210787,0.0261371483065713,0.712928398373369
