"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.006907534178045,0.00576892964320241,0.00649384119705218,0.00459237162386508,0.000759069689895054,0.000151813937979011,0.00576892964320241,0,0.0304804433977359,0.0117294480235298,0.21172944802353
"2",2,0.00721260434332556,0.00602371351750267,0.0067806406766099,0.00479519299748568,0.000792593883881929,0.000158518776776386,0.00602371351750267,0,0.0318266074072789,0.0122167403702382,0.223946188393768
"3",3,0.00712530402826285,0.00595080336426348,0.00669856878700974,0.0047371526781308,0.000783000442666246,0.000156600088533249,0.00595080336426348,0,0.0314413827752631,0.0120731266510502,0.236019315044818
"4",4,0.00718046842541812,0.00599687472892062,0.00675042938235735,0.00477382790920655,0.00078906246433166,0.000157812492866332,0.00599687472892062,0,0.0316848032552378,0.0121171182778644,0.248136433322683
"5",5,0.00755805692858433,0.00631222336892757,0.0071054040685757,0.00502486202394892,0.000830555706437838,0.000166111141287568,0.00631222336892757,0,0.0333509643920114,0.012743788106768,0.260880221429451
"6",6,0.00795602053819279,0.00664458858134782,0.00747953359387244,0.00528944222594136,0.000874287971229976,0.000174857594245995,0.00664458858134782,0,0.0351070334847397,0.0133970439698465,0.274277265399297
"7",7,0.00883571661332537,0.00737927980893108,0.00830654457439543,0.00587429511105698,0.000970957869596194,0.000194191573919239,0.00737927980893108,0,0.0389888132536351,0.0147635397007669,0.289040805100064
"8",8,0.00933575765922211,0.00779689650660308,0.00877663810710385,0.00620673998223009,0.00102590743507935,0.00020518148701587,0.00779689650660308,0,0.0411953130556114,0.0154835800786242,0.304524385178688
"9",9,0.00971869250443635,0.0081167102234853,0.00913663894235746,0.00646132853316922,0.0010679881873007,0.000213597637460139,0.0081167102234853,0,0.0428850656610595,0.0160665717421399,0.320590956920828
"10",10,0.00996911933057872,0.00832585790246135,0.00937206767836273,0.00662782109340673,0.00109550761874491,0.000219101523748983,0.00832585790246135,0,0.043990108430702,0.0165094445600201,0.337100401480848
"11",11,0.0105605962453006,0.00881983862244883,0.00992812097566443,0.00702105574550203,0.00116050508190116,0.000232101016380232,0.00881983862244883,0,0.0466000815637411,0.0173040220978452,0.354404423578693
"12",12,0.0108292108191859,0.00904417606877062,0.0101806481932017,0.0071996401600082,0.0011900231669435,0.0002380046333887,0.00904417606877062,0,0.0477853802686163,0.0177898495966867,0.37219427317538
"13",13,0.0105867659410896,0.00884169463211877,0.00995272336549684,0.0070384542795156,0.00116338087264721,0.000232676174529441,0.00884169463211877,0,0.0467155589411486,0.0175461289530678,0.389740402128448
"14",14,0.0109032267078771,0.00910599153624904,0.0102502312621856,0.00724884852556667,0.0011981567810854,0.00023963135621708,0.00910599153624904,0,0.0481119855444842,0.0180345736004898,0.407774975728938
"15",15,0.0109586153274761,0.00915225016360639,0.0103023026512701,0.00728567282760772,0.00120424344257979,0.000240848688515957,0.00915225016360639,0,0.0483563954367914,0.0180853745793064,0.425860350308244
"16",16,0.0111019946743769,0.00927199555222682,0.010437094993329,0.00738099645933846,0.00121999941476669,0.000243999882953337,0.00927199555222682,0,0.0489890764999563,0.0182621791582446,0.444122529466489
"17",17,0.0115668295244054,0.00966020927312981,0.0108740908331086,0.00769003501347834,0.00127108016751708,0.000254216033503416,0.00966020927312981,0,0.0510402241266483,0.0190016668226865,0.463124196289175
"18",18,0.0120439398744596,0.0100586750599882,0.0113226269918683,0.00800723475170116,0.00132350987631424,0.000264701975262848,0.0100586750599882,0,0.0531455390833983,0.0197532956599228,0.482877491949098
"19",19,0.0125688839058791,0.0104970898554594,0.0118161320675599,0.00835623600335915,0.00138119603361308,0.000276239206722616,0.0104970898554594,0,0.0554619267297333,0.0205750750859188,0.503452567035017
"20",20,0.013502369650228,0.0112767043232674,0.012693711248099,0.00897685015207468,0.00148377688464044,0.000296755376928088,0.0112767043232674,0,0.0595810608027369,0.0219899223162091,0.525442489351226
"21",21,0.0141143922461406,0.0117878440736998,0.0132690797434871,0.00938374429551105,0.0015510321149605,0.000310206422992101,0.0117878440736998,0,0.062281694576239,0.0228739405311192,0.548316429882345
"22",22,0.014542981424132,0.0121457866838905,0.0136720006685109,0.00966868545230754,0.00159812982682769,0.000319625965365538,0.0121457866838905,0,0.0641729031962659,0.023519161468499,0.571835591350844
"23",23,0.0148308901313553,0.0123862379119011,0.0139426664916202,0.00986009728513179,0.00162976814630277,0.000325953629260555,0.0123862379119011,0,0.0654433399147879,0.0239810164062385,0.595816607757083
"24",24,0.0151623360954332,0.0126630499258563,0.0142542621204869,0.0100804542172935,0.00166619077971793,0.000333238155943586,0.0126630499258563,0,0.0669058907595735,0.024488683554397,0.62030529131148
"25",25,0.0145625932998755,0.0121621658328631,0.013690437986861,0.00968172411695022,0.0016002849780083,0.00032005699560166,0.0121621658328631,0,0.0642594432919232,0.0234786774838464,0.643783968795326
"26",26,0.0146590536142937,0.0122427260954541,0.0137811212824487,0.0097458543259865,0.00161088501255975,0.00032217700251195,0.0122427260954541,0,0.0646850876793368,0.0235315543091728,0.667315523104499
"27",27,0.0154701051421876,0.0129200878110578,0.0145435988452104,0.0102850699022236,0.00170001155408655,0.00034000231081731,0.0129200878110578,0,0.0682639639543454,0.0248505636115394,0.692166086716038
"28",28,0.0165394429186512,0.0138131611188736,0.015548893864732,0.0109960032591033,0.00181752119985178,0.000363504239970356,0.0138131611188736,0,0.0729825637800483,0.0265293285526263,0.718695415268664
"29",29,0.0179280150032477,0.0149728476950201,0.0168543042145917,0.0119191748098515,0.00197011153881843,0.000394022307763686,0.0149728476950201,0,0.079109828841254,0.028431979524699,0.747127394793363
"30",30,0.0187413954611566,0.0156521544510758,0.0176189712274939,0.0124599387406591,0.00205949400672051,0.000411898801344101,0.0156521544510758,0,0.0826989818398619,0.0294499473183769,0.77657734211174
"31",31,0.0194274532913641,0.0162251258257547,0.0182639409788593,0.0129160541112915,0.00213488497707298,0.000426976995414596,0.0162251258257547,0,0.0857263062543655,0.0303175734901059,0.806894915601846
"32",32,0.0202431579823466,0.0169063736995422,0.019030793026261,0.0134583632739777,0.00222452285520292,0.000444904571040584,0.0169063736995422,0,0.0893257152506733,0.0312050826827196,0.838099998284566
"33",33,0.0205442952128816,0.017157872925044,0.0193138951149673,0.0136585698942784,0.00225761485855842,0.000451522971711684,0.017157872925044,0,0.0906545246454133,0.0318842969820605,0.869984295266626
"34",34,0.0203088141252835,0.0169612074013357,0.0190925170155824,0.0135020137865896,0.00223173781596522,0.000446347563193043,0.0169612074013357,0,0.0896154320000833,0.0319349777275228,0.901919272994149
"35",35,0.0205484072777147,0.0171613071769925,0.0193177609077856,0.0136613037395795,0.0022580667338148,0.00045161334676296,0.0171613071769925,0,0.0906726696963332,0.0323232265046579,0.934242499498807
"36",36,0.0208967503530458,0.0174522310640822,0.0196452416780557,0.0138928944654865,0.0022963461926424,0.000459269238528479,0.0174522310640822,0,0.0922097813655554,0.0328292259094806,0.967071725408287
"37",37,0.0214924719353809,0.0179497567811972,0.0202052854293608,0.0142889511218741,0.00236181010278911,0.000472362020557822,0.0179497567811972,0,0.0948384846774966,0.0336701180837233,1.00074184349201
"38",38,0.0219179915260451,0.0183051357799937,0.0206053206049798,0.014571851509074,0.0024085704973676,0.000481714099473519,0.0183051357799937,0,0.0967161483217958,0.0342730153169791,1.03501485880899
"39",39,0.0245005032100473,0.0204619587248746,0.0230331653804345,0.0162887960901963,0.00269236299011508,0.000538472598023017,0.0204619587248746,0,0.108111835868071,0.0367036787793834,1.07171853758837
"40",40,0.0250303199289066,0.0209044430175483,0.0235312513177797,0.0166410368758115,0.00275058460757215,0.00055011692151443,0.0209044430175483,0,0.11044972491706,0.0375552143980915,1.10927375198646
"41",41,0.0253559936632847,0.0211764342682378,0.0238374204164176,0.0168575562266893,0.00278637293003128,0.000557274586006257,0.0211764342682378,0,0.111886805005406,0.0383537808444353,1.1476275328309
"42",42,0.0263420358341691,0.02199994201535,0.0247644084133314,0.0175131117359036,0.00289472921254605,0.00057894584250921,0.02199994201535,0,0.116237851529787,0.0392435434382657,1.18687107626917
"43",43,0.0270906560441578,0.0226251632896263,0.025468193676678,0.0180108207766104,0.00297699516968767,0.000595399033937534,0.0226251632896263,0,0.119541241038808,0.0400756944751323,1.2269467707443
"44",44,0.0275992184895344,0.0230498967604902,0.025946298261315,0.0183489309738113,0.00303288115269608,0.000606576230539216,0.0230498967604902,0,0.121785342686511,0.0409678654193358,1.26791463616363
"45",45,0.0279746199595902,0.02336341886735,0.0262992168960762,0.0185985110720352,0.00307413406149343,0.000614826812298685,0.02336341886735,0,0.123441853239268,0.0418049841586763,1.30971962032231
"46",46,0.0285952562860211,0.023881752502611,0.0268826832447154,0.0190111319264206,0.00314233585560671,0.000628467171121341,0.023881752502611,0,0.126180496281887,0.042666156266603,1.35238577658891
"47",47,0.0286822351534652,0.0239543941941028,0.0269644529382302,0.019068958536095,0.00315189397290826,0.000630378794581652,0.0239543941941028,0,0.126564302482131,0.0432103017471842,1.3955960783361
"48",48,0.028803568662887,0.024055727674499,0.0270785197704394,0.0191496253198315,0.00316522732559198,0.000633045465118396,0.024055727674499,0,0.127099703259146,0.0435839568946624,1.43918003523076
