"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)","NA"
"1",1,0.00560484890812576,0.00468097271447865,0.00526917389110063,0.00372630064770998,0.000615917462431401,0.00012318349248628,0.00468097271447865,0,3.07958731215699e-05,0.0247321657039329,0.00881677702737087,0.208816777027371
"2",2,0.00566652285187668,0.00473248062354536,0.00532715417558296,0.00376730365426966,0.000622694818887547,0.000124538963777509,0.00473248062354536,0,3.11347409443772e-05,0.0250043104524294,0.0088756838470844,0.217692460874455
"3",3,0.00600491689666151,0.00501509543017885,0.00564528176383947,0.00399227991481343,0.000659880977655111,0.000131976195531022,0.00501509543017885,0,3.29940488827554e-05,0.026497520657741,0.00941464132237495,0.22710710219683
"4",4,0.00644693194948536,0.00538425085891085,0.00606082448657661,0.00428614706531719,0.000708454060383006,0.000141690812076601,0.00538425085891085,0,3.54227030191501e-05,0.0284479727946796,0.0100919044344596,0.23719900663129
"5",5,0.00701796858776048,0.00586116057878897,0.00659766167783416,0.00466579230285175,0.000771205339314338,0.000154241067862868,0.00586116057878897,0,3.85602669657167e-05,0.0309677504001672,0.0108462174741499,0.24804522410544
"6",6,0.00736788935217887,0.00615340209632521,0.0069266256492187,0.0048984319319431,0.000809658170569106,0.000161931634113821,0.00615340209632521,0,4.04829085284552e-05,0.0325118238392025,0.0112738224254411,0.259319046530881
"7",7,0.00766971675903049,0.00640547773281668,0.00721037657950613,0.00509909740572907,0.000842826017475878,0.000168565203495176,0.00640547773281668,0,4.21413008737937e-05,0.0338436787317439,0.0116499618895444,0.270969008420425
"8",8,0.00802453914481833,0.00670181291215597,0.00754394861361766,0.00533499580507153,0.000881817488441574,0.000176363497688315,0.00670181291215597,0,4.40908744220785e-05,0.0354093812483714,0.0120261412202556,0.282995149640681
"9",9,0.00817634017018895,0.00682859179048748,0.00768665825889741,0.00543591846479595,0.000898498919800983,0.000179699783960197,0.00682859179048748,0,4.4924945990049e-05,0.0360792241246085,0.012357189743577,0.295352339384258
"10",10,0.00811433643796392,0.00677680845368415,0.00762836793700893,0.00539469620326173,0.000891685322853177,0.000178337064570635,0.00677680845368415,0,4.45842661426587e-05,0.0358056241391693,0.0124596003501313,0.307811939734389
"11",11,0.00824149472637078,0.00688300658466131,0.00774791070154966,0.00547923550489486,0.000905658761139646,0.000181131752227929,0.00688300658466131,0,4.52829380569821e-05,0.0363667275535625,0.0126698994146215,0.320481839149011
"12",12,0.00841241001496973,0.0070257490234912,0.00790858985473252,0.00559286599896339,0.000924440660985684,0.000184888132197137,0.0070257490234912,0,4.6222033049284e-05,0.0371209147418801,0.0129236016659009,0.333405440814912
"13",13,0.00868363249692565,0.00725226450292691,0.00816356879243943,0.00577318424246156,0.000954245329332488,0.000190849065866498,0.00725226450292691,0,4.77122664666242e-05,0.038317721199346,0.0133064057601718,0.346711846575083
"14",14,0.00888713903966675,0.00742222601115025,0.00835488730597241,0.00590848254834987,0.000976608685677664,0.000195321737135533,0.00742222601115025,0,4.8830434283883e-05,0.0392157217733866,0.013599817013335,0.360311663588418
"15",15,0.00996891590088142,0.00832568800513173,0.00937187643209235,0.00662768584619039,0.00109548526383312,0.000219097052766624,0.00832568800513173,0,5.47742631916559e-05,0.043989210769219,0.014527166845304,0.374838830433722
"16",16,0.010219098788972,0.00853463195562498,0.00960707583952258,0.00679401622783305,0.00112297788889802,0.000224595577779605,0.00853463195562498,0,5.61488944449009e-05,0.0450931771287001,0.014930116267421,0.389768946701143
"17",17,0.0103867628358772,0.00867465907172158,0.00976469846823395,0.00690548518209415,0.00114140250943705,0.00022828050188741,0.00867465907172158,0,5.70701254718522e-05,0.0458330177664447,0.015330301708644,0.405099248409787
"18",18,0.0108266251960234,0.00904201664722831,0.0101782174232945,0.00719792114680675,0.00118973903253004,0.000237947806506008,0.00904201664722831,0,5.94869516265018e-05,0.0477739708512438,0.0157149421832885,0.420814190593076
"19",19,0.0111701728462596,0.00932893556390915,0.0105011899670056,0.00742632370548031,0.00122749152156699,0.000245498304313399,0.00932893556390915,0,6.13745760783494e-05,0.0492899220485226,0.0160964838961568,0.436910674489233
"20",20,0.0114156391060921,0.00953394035234061,0.0107319552255624,0.00758951830679746,0.00125446583583429,0.000250893167166858,0.00953394035234061,0,6.27232917917143e-05,0.0503730756379259,0.0165299406926729,0.453440615181906
"21",21,0.0116069645053715,0.00969372859789266,0.0109118221256542,0.00771671816016455,0.00127549060498588,0.000255098120997175,0.00969372859789266,0,6.37745302492935e-05,0.0512173252432078,0.0169534484120315,0.470394063593937
