"","Sim.Day","D1.Con.(g/d)","D2.Con.(g/d)","D3.Con.(g/d)","D4.Con.(g/d)","D5.Con.(g/d)","D6.Con.(g/d)","D7.Con.(g/d)","D8.Con.(g/d)","D9.Con.(g/d)","Total.Con.(g/d)","W.Gain.(g/d)","Daily.Weight.(g)"
"1",1,0.00352402384046381,0.00451817765714791,0.0168696684613202,0.00155699187243325,0.000348147250978863,0.00022049325895328,2.32098167319241e-05,0.000154732111546161,2.32098167319241e-05,0.0272386540863073,0.00824436073251985,0.20824436073252
"2",2,0.00366636214797063,0.00470067067928618,0.0175510486578484,0.00161988009281908,0.000362209213301161,0.000229399168424068,2.4147280886744e-05,0.000160981872578293,2.4147280886744e-05,0.0283388463940013,0.0085440246394994,0.216788385372019
"3",3,0.00381104466406315,0.00488616922900743,0.0182436506915251,0.00168380403653723,0.000376502765933791,0.000238451751758068,2.5100184395586e-05,0.00016733456263724,2.5100184395586e-05,0.0294571580702532,0.00884214226574682,0.225630527637766
"4",4,0.00395795963631232,0.00507453002767596,0.0189469395981976,0.00174871432888662,0.000391016868570921,0.000247644016761583,2.60677912380614e-05,0.000173785274920409,2.60677912380614e-05,0.0305927253338015,0.00913823975232143,0.234768767390088
"5",5,0.00410699556084425,0.00526561011533051,0.0196603816035585,0.00181456170498333,0.000405740505462111,0.00025696898679267,2.70493670308073e-05,0.000180329113538716,2.70493670308073e-05,0.0317446863245716,0.00943187271886187,0.244200640108949
"6",6,0.00425804170899064,0.00545926752590678,0.0203834466442461,0.00188129724244647,0.000420662737441447,0.000266419733712916,2.80441824960964e-05,0.000186961216640643,2.80441824960964e-05,0.0329121851743771,0.00972262919757008,0.253923269306519
"7",7,0.00441098858868674,0.00565536187879926,0.0211156105765784,0.00194887256525402,0.000435772747510217,0.00027598940675647,2.90515165006811e-05,0.000193676776671207,2.90515165006811e-05,0.0340943755732576,0.0100101322458242,0.263933401552344
"8",8,0.00465663728586394,0.00597030993401658,0.0222915424847999,0.00205740560654252,0.000460041005189633,0.000291359303286767,3.06694003459755e-05,0.00020446266897317,3.06694003459755e-05,0.0359930970893644,0.010309162341953,0.274242563894297
"9",9,0.00480623560696642,0.00616211107457387,0.0230076767090895,0.00212350146191436,0.000474820202664082,0.000300719461687252,3.16546801776054e-05,0.000211031201184036,3.16546801776054e-05,0.0371494050784347,0.0105653355960982,0.284807899490395
"10",10,0.00493854269702809,0.00633174299684832,0.0236410369942256,0.00218195766800637,0.000487891155579065,0.000308997731866741,3.25260770386043e-05,0.000216840513590695,3.25260770386043e-05,0.038172061911222,0.0108346093296367,0.295642508820032
"11",11,0.00504922519868457,0.00647364987054182,0.0241708793539665,0.00223085965144955,0.000498825760572571,0.000315922981695961,3.3255050704838e-05,0.000221700338032253,3.3255050704838e-05,0.0390275732563528,0.0111186003193369,0.306761109139368
"12",12,0.00522910456383278,0.00670427456702163,0.0250319703653949,0.00231033434351558,0.000516596499171186,0.000327177782808418,3.44397666114124e-05,0.000229598444076082,3.44397666114124e-05,0.0404179360990434,0.011366929750681,0.31812803889005
"13",13,0.00532040154426329,0.00682132711712354,0.0254690133200134,0.00235067137383752,0.000525615959367395,0.00033289010759935,3.50410639578263e-05,0.000233607093052175,3.50410639578263e-05,0.0411236086431723,0.0116736666439004,0.32980170553395
"14",14,0.00533719084378023,0.00684285280519795,0.0255493844892707,0.00235808925864056,0.000527274616838882,0.000333940590664625,3.51516411225921e-05,0.000234344274150614,3.51516411225921e-05,0.0412533801607887,0.0119194169502194,0.341721122484169
"15",15,0.00548181902752687,0.00702828169500702,0.0262417264314431,0.00242198919712356,0.000541562801841294,0.000342989774499486,3.61041867894195e-05,0.00024069457859613,3.61041867894195e-05,0.0423712718796163,0.012207769616906,0.353928892101075
"16",16,0.00554600508550911,0.00711057512609733,0.0265489881206425,0.00245034802076556,0.000547903905264348,0.00034700580666742,3.65269270176232e-05,0.000243512846784154,3.65269270176232e-05,0.0428673927657656,0.0124215600385158,0.366350452139591
"17",17,0.00564292452284684,0.00723483627078499,0.0270129460418607,0.00249316917721828,0.000557478822235144,0.000353069920748925,3.71652548156762e-05,0.000247768365437842,3.71652548156762e-05,0.043616523630764,0.0126546528213699,0.379005104960961
"18",18,0.0058062669003976,0.0074442587702134,0.0277948737130998,0.00256533746148193,0.00057361582989658,0.000363290025601167,3.82410553264386e-05,0.000254940368842924,3.82410553264386e-05,0.0448790651801863,0.0129721003625972,0.391977205323558
"19",19,0.00606191119430236,0.00777202225570272,0.0290186550146571,0.00267828677904139,0.000598871577922298,0.000379285332684122,3.99247718614865e-05,0.000266165145743243,3.99247718614865e-05,0.0468550468437762,0.01337334918911,0.405350554512668
"20",20,0.00621681412258633,0.007970624473305,0.0297601826439067,0.00274672632748738,0.000614174830990967,0.000388977392960945,4.09449887327311e-05,0.00027296659155154,4.09449887327311e-05,0.0480523563602543,0.0136765736792997,0.419027128191968
"21",21,0.00641493351452092,0.00822463484627932,0.0307085895245069,0.0028342598678317,0.000633747548086591,0.000401373447121507,4.2249836539106e-05,0.000281665576927373,4.2249836539106e-05,0.0495837039983525,0.0140013345350616,0.43302846272703
"22",22,0.00657056073709317,0.00842416568707448,0.0314535843847018,0.00290301942555434,0.000649122356024574,0.00041111082548223,4.32748237349715e-05,0.00028849882489981,4.32748237349715e-05,0.0507866118883003,0.0143078488593745,0.447336311586404
"23",23,0.0066832999356171,0.00856870946739934,0.0319932722494251,0.00295283010327759,0.000660260147316729,0.000418164759967262,4.40173431544486e-05,0.00029344895436299,4.40173431544486e-05,0.0516580203036749,0.0145977794509685,0.461934091037373
"24",24,0.00680216113001673,0.00872110230500501,0.0325622663973688,0.00300534561452441,0.000672002746104838,0.00042560173919973,4.48001830736558e-05,0.000298667887157705,4.48001830736558e-05,0.0525767481855245,0.0148834491085645,0.476817540145937
"25",25,0.0069510925859358,0.00891204845265976,0.0332752083065489,0.00307114683407153,0.000686716062276865,0.000434920172775347,4.57810708184576e-05,0.000305207138789717,4.57810708184576e-05,0.0537279016946948,0.0151896055365838,0.492007145682521
"26",26,0.00701386467414642,0.00899252902239631,0.0335757012557108,0.00309888093451585,0.000692917476040811,0.000438847734825847,4.61944984027207e-05,0.000307963322684804,4.61944984027207e-05,0.0542130934171263,0.0154077443432681,0.507414890025789
"27",27,0.00714751144035923,0.00916387855361098,0.0342154746338163,0.00315792903923666,0.00070612077895975,0.000447209826674508,4.70747185973166e-05,0.000313831457315444,4.70747185973166e-05,0.0552461051671674,0.0156921861685418,0.523107076194331
"28",28,0.00735839227273212,0.0094342504660276,0.0352249711321458,0.0032511008669316,0.00072695423111514,0.000460404346372921,4.84636154076759e-05,0.000323090769384506,4.84636154076759e-05,0.056876091315525,0.0160696619165201,0.539176738110851
"29",29,0.00762645474197986,0.00977793538818057,0.0365081988252186,0.00336953680971119,0.000753436802171447,0.00047717664137525,5.02291201447631e-05,0.000334860800965087,5.02291201447631e-05,0.0589480582498915,0.0164837969738884,0.555660535084739
"30",30,0.00792645308791671,0.010162565539722,0.0379443050674038,0.00350208273094016,0.00078307439946488,0.00049594711966109,5.22049599643253e-05,0.000348033066428835,5.22049599643253e-05,0.061266870931466,0.0168507530584674,0.572511288143207
"31",31,0.00816996343343419,0.0104747719980803,0.0391100005852981,0.00360967100105079,0.000807131403961667,0.000511183222509055,5.3808760264111e-05,0.000358725068427407,5.3808760264111e-05,0.0631490642332896,0.0171558338189586,0.589667121962165
"32",32,0.00837042830633418,0.0107317895299653,0.0400696353939884,0.00369824082689299,0.00082693583706924,0.000523726030143851,5.51290558046159e-05,0.000367527038697439,5.51290558046159e-05,0.0646985410747005,0.0174695700878421,0.607136692050007
"33",33,0.00860369858089616,0.0110308671157923,0.0411863112088784,0.00380130480659793,0.000849981198990841,0.000538321426027532,5.6665413266056e-05,0.000377769421773706,5.6665413266056e-05,0.0665015845854888,0.0177405423289654,0.624877234378973
"34",34,0.00870976851174087,0.0111668601775119,0.0416940729744259,0.00384816885397992,0.00086046011641787,0.000544958073731318,5.73640077611913e-05,0.000382426718407942,5.73640077611913e-05,0.067321443441738,0.0181539167884028,0.643031151167376
"35",35,0.00879251280763378,0.0112729472659893,0.0420901738244687,0.00388472711863074,0.00086863463522178,0.000550135268973793,5.79089756814519e-05,0.000386059837876346,5.79089756814519e-05,0.0679610087101572,0.0185282422562764,0.661559393423652
"36",36,0.00888503499878837,0.0113915706680405,0.0425330819206544,0.0039256054742177,0.000877775137092157,0.000555924253491699,5.85183424728104e-05,0.000390122283152069,5.85183424728104e-05,0.0686761514203824,0.0188524367035512,0.680411830127203
"37",37,0.00900144530267028,0.0115408212003501,0.0430903435400057,0.00397703812768913,0.000889275606191358,0.000563207883921193,5.92850404127571e-05,0.000395233602751714,5.92850404127571e-05,0.0695759353444048,0.0191603753624355,0.699572205489639
"38",38,0.00920267015362771,0.0117988131058586,0.0440536163995285,0.00406594372868843,0.000909155119458283,0.000575798242323579,6.06103412972188e-05,0.000404068941981458,6.06103412972188e-05,0.071131286374061,0.019519899841484,0.719092105331123
"39",39,0.00937706412294974,0.0120224049348028,0.0448884485622216,0.00414299485124838,0.000926383941894049,0.000586709829866231,6.17589294596032e-05,0.000411726196397354,6.17589294596032e-05,0.0724792502982993,0.0198629340821471,0.73895503941327
"40",40,0.00992179421058963,0.012720807506003,0.0474960972034922,0.00438366868250531,0.000980199208510503,0.000620792832056652,6.53466139007001e-05,0.000435644092671334,6.53466139007001e-05,0.07668969696363,0.0201287870543998,0.75908382646767
"41",41,0.0100916018263458,0.0129385191363029,0.0483089742751858,0.00445869345236466,0.000996974933447999,0.000631417457850399,6.64649955631999e-05,0.000443099970421332,6.64649955631999e-05,0.0780022110430453,0.0205132769578931,0.779597103425563
"42",42,0.0101885735142585,0.0130628472718485,0.0487731823223725,0.00450153769427996,0.00100655501238558,0.000637484841177535,6.7103667492372e-05,0.00044735778328248,6.7103667492372e-05,0.0787517457745896,0.0209543928153008,0.800551496240864
"43",43,0.010407324736962,0.013343309871319,0.0498203547507038,0.00459818683493655,0.00102816600035848,0.000651171800227039,6.85444000238988e-05,0.000456962666825992,6.85444000238988e-05,0.0804425654613805,0.0213005522529225,0.821852048493786
"44",44,0.0106985349048756,0.0137166726332544,0.0512143915698822,0.00472684994425077,0.00105693539126104,0.000669392414465326,7.04623594174027e-05,0.000469749062782684,7.04623594174027e-05,0.0826934506396068,0.0215688339645913,0.843420882458377
"45",45,0.0109095721548325,0.0139872450898402,0.0522246368465694,0.00482009088070263,0.00107778429630618,0.000682596720993913,7.18522864204118e-05,0.000479015242802745,7.18522864204118e-05,0.0843246458048883,0.0219156479701805,0.865336530428558
"46",46,0.0110783641734069,0.0142036546153011,0.0530326522066163,0.00489466693720776,0.00109445968782285,0.000693157802287807,7.29639791881902e-05,0.000486426527921268,7.29639791881902e-05,0.0856293099089402,0.022322832153854,0.887659362582412
"47",47,0.0112487832206189,0.0144221501665015,0.0538484562295488,0.00496996185104182,0.00111129581762426,0.000703820684495363,7.40863878416171e-05,0.000493909252277447,7.40863878416171e-05,0.0869465499977911,0.0227241042385135,0.910383466820925
"48",48,0.0113510221455603,0.0145532314665363,0.0543378787890107,0.00501513327506921,0.00112139626026392,0.000710217631500484,7.47597506842614e-05,0.000498398337895076,7.47597506842614e-05,0.0877367974072044,0.0231537995260752,0.933537266347001
"49",49,0.0115753690804873,0.014840868371031,0.0554118381558783,0.00511425472546229,0.00114356006283629,0.000724254706462982,7.62373375224191e-05,0.000508248916816127,7.62373375224191e-05,0.089470868694019,0.0235206323903165,0.957057898737317
"50",50,0.0118565662591617,0.0152013934036233,0.0567579423229463,0.00523849387410821,0.00117134024514221,0.000741848821923398,7.80893496761471e-05,0.000520595664507647,7.80893496761471e-05,0.0916443592907649,0.0238537738595568,0.980911672596874
"51",51,0.0121444492207548,0.0155704903291346,0.058136051648421,0.0053656869498944,0.00119978093289564,0.000759861257500573,7.9985395526376e-05,0.00053323597017584,7.9985395526376e-05,0.0938695270998295,0.0241512252010067,1.00506289779788
