Individual_ID,Sample Date,Initial Weight,Final Weight ,Emergence Date,p-value,site
1AWO624,J,0.2,3.22,2/25/15,0.3204982,WO
2AWO624,J,0.2,3.55,3/15/15,0.3570146,WO
3AWO624,J,0.2,1.72,4/9/15,0.3265226,WO
4AWO624,J,0.2,5.18,2/23/15,0.3668321,WO
5AWO624,J,0.2,2.11,4/4/15,0.3387535,WO
7AWO624,J,0.2,6.44,3/14/15,0.4301997,WO
8AWO624,J,0.2,1.77,4/6/15,0.3233511,WO
15AWO624,J,0.2,4.1,3/9/15,0.3622184,WO
16AWO624,J,0.2,2.58,3/19/15,0.3296726,WO
17AWO624,J,0.2,5.1,2/22/15,0.3636577,WO
1ACH619,J,0.2,2.18,3/20/15,0.3237601,CO
2ACH619,J,0.2,1.86,3/30/15,0.3253028,CO
3ACH619,J,0.2,1.22,4/18/15,0.3170223,CO
4ACH619,J,0.2,1.8,4/8/15,0.3406716,CO
5ACH619,J,0.2,2.32,4/6/15,0.3681764,CO
6ACH619,J,0.2,1.99,4/13/15,0.3664436,CO
9ACH619,J,0.2,1.9,4/3/15,0.3366468,CO
13ACH619,J,0.2,1.78,4/11/15,0.3466985,CO
17ACH619,J,0.2,1.38,4/11/15,0.3159617,CO
18ACH619,J,0.2,1.95,4/5/15,0.3441209,CO
4ACO929,S,0.2,3.05,5/21/15,0.2787833,CO
5ACO929,S,0.2,3.23,5/25/15,0.2884278,CO
6ACO929,S,0.2,2.03,6/20/15,0.2896592,CO
7ACO929,S,0.2,4.37,5/30/15,0.3225539,CO
8ACO929,S,0.2,6.44,5/3/15,0.3187393,CO
10ACO929,S,0.2,2.97,5/26/15,0.2830251,CO
3AEF630,J,0.2,4.17,3/21/15,0.3558702,EF
5AEF630,J,0.2,6.64,3/15/15,0.4015447,EF
6AEF630,J,0.2,4.54,3/14/15,0.3527293,EF
7AEF630,J,0.2,5.59,3/1/15,0.3576058,EF
8AEF630,J,0.2,5.39,3/16/15,0.3768901,EF
9AEF630,J,0.2,2.44,4/15/15,0.3432827,EF
10AEF630,J,0.2,4.11,3/25/15,0.3618609,EF
12AEF630,J,0.2,2.63,4/7/15,0.3357739,EF
19AEF630,J,0.2,5.19,3/7/15,0.3561489,EF
1AHA622,J,0.2,0.72,4/19/15,0.2143314,HA
2AHA622,J,0.2,0.69,4/26/15,0.220616,HA
3AHA622,J,0.2,0.92,4/23/15,0.2428958,HA
4AHA622,J,0.2,3.15,3/30/15,0.3222766,HA
5AHA622,J,0.2,1.23,4/2/15,0.238176,HA
6AHA622,J,0.2,1.46,4/12/15,0.268151,HA
7AHA622,J,0.2,3.39,3/16/15,0.3042981,HA
8AHA622,J,0.2,2.42,4/7/15,0.3103834,HA
9AHA622,J,0.2,2.22,3/18/15,0.2679846,HA
10AHA622,J,0.2,0.86,4/6/15,0.2142472,HA
1AHA924,S,0.2,2.42,5/31/15,0.2814926,HA
2AHA924,S,0.2,1.78,6/21/15,0.2890517,HA
3AHA924,S,0.2,6.26,5/15/15,0.341557,HA
5AHA924,S,0.2,0.65,6/21/15,0.2127532,HA
8AHA924,S,0.2,2.53,5/20/15,0.2710806,HA
10AHA924,S,0.2,1.78,5/20/15,0.2890517,HA
1AIS615,J,0.2,2.51,3/21/15,0.3002238,IS
4AIS615,J,0.2,3.41,3/5/15,0.3063035,IS
5AIS615,J,0.2,2,3/24/15,0.2826133,IS
6AIS615,J,0.2,2.1,3/25/15,0.2890017,IS
7AIS615,J,0.2,1.69,4/8/15,0.2933599,IS
8AIS615,J,0.2,4.07,2/26/15,0.3160441,IS
9AIS615,J,0.2,3.55,3/14/15,0.3237476,IS
14AIS615,J,0.2,1.71,4/5/15,0.2890284,IS
15AIS615,J,0.2,2.97,3/15/15,0.3068464,IS
16AIS615,J,0.2,2.77,3/4/15,0.2857282,IS
1AIS924,S,0.2,2.8,5/20/15,0.4095784,IS
2AIS924,S,0.2,6.86,4/24/15,0.4378278,IS
3AIS924,S,0.2,5.86,5/5/15,0.4487148,IS
5AIS924,S,0.2,5.23,5/5/15,0.4349367,IS
7AIS924,S,0.2,5.41,5/5/15,0.438965,IS
8AIS924,S,0.2,7.15,5/2/15,0.4650254,IS
1AJE616,J,0.2,2.93,3/18/15,0.3847227,JE
3AJE616,J,0.2,1.07,4/21/15,0.3423657,JE
4AJE616,J,0.2,2.06,3/17/15,0.3411717,JE
5AJE616,J,0.2,2.72,3/27/15,0.3970347,JE
6AJE616,J,0.2,1.8,4/6/15,0.3691757,JE
7AJE616,J,0.2,1.76,3/27/15,0.3426157,JE
8AJE616,J,0.2,1.65,4/4/15,0.3531546,JE
9AJE616,J,0.2,2.4,3/14/15,0.3525885,JE
10AJE616,J,0.2,2.58,3/31/15,0.4013691,JE
11AJE616,J,0.2,3.27,3/24/15,0.4143073,JE
1AJE921,S,0.2,5.16,4/21/15,0.3375541,JE
2AJE921,S,0.2,4.76,5/16/15,0.3578541,JE
3AJE921,S,0.2,5.74,5/12/15,0.3716754,JE
7AJE921,S,0.2,10.58,5/12/15,NA,JE
8AJE921,S,0.2,4.11,5/29/15,0.3607903,JE
9AJE921,S,0.2,3.12,5/12/15,0.3151991,JE
1ALO621,J,0.2,7.46,3/7/15,0.456533,LO
2ALO621,J,0.2,6.4,3/3/15,0.424064,LO
3ALO621,J,0.2,10,2/13/15,0.4506465,LO
4ALO621,J,0.2,6.11,3/5/15,0.4220985,LO
5ALO621,J,0.2,8.65,2/22/15,0.4478381,LO
6ALO621,J,0.2,12.41,2/20/15,0.5136032,LO
7ALO621,J,0.2,4.39,3/11/15,0.3913424,LO
8ALO621,J,0.2,7.9,3/13/15,0.4828758,LO
9ALO621,J,0.2,9.27,2/24/15,0.4632535,LO
10ALO621,J,0.2,8.3,2/25/15,0.4483696,LO
11AMA715,J,0.2,7.34,3/13/15,0.2148235,MA
12AMA715,J,0.2,6.83,3/23/15,0.2288638,MA
13AMA715,J,0.2,4.6,3/8/15,0.2227562,MA
1AMA923,S,0.2,6.58,4/28/15,0.2645456,MA
3AMA923,S,0.2,5.49,5/4/15,0.2582597,MA
5AMA923,S,0.2,5.2,4/29/15,0.2492635,MA
7AMA923,S,0.2,6.61,4/20/15,0.256704,MA
8AMA923,S,0.2,5.68,5/2/15,0.2584406,MA
10AMA923,S,0.2,3.35,5/29/15,0.2541881,MA
1ASW709,J,0.2,7.34,3/13/15,0.3752639,SW
2ASW709,J,0.2,6.83,3/23/15,0.3774398,SW
3ASW709,J,0.2,4.6,3/8/15,0.318599,SW
4ASW709,J,0.2,8.3,3/16/15,0.3963711,SW
5ASW709,J,0.2,4.6,3/14/15,0.3266447,SW
7ASW709,J,0.2,6.46,3/28/15,0.3892993,SW
8ASW709,J,0.2,4.99,4/3/15,0.3710311,SW
15ASW709,J,0.2,6,3/20/15,0.3644695,SW
17ASW709,J,0.2,5.18,3/28/15,0.3627241,SW
20ASW709,J,0.2,5.98,3/28/15,0.3797059,SW
1ASW917,S,0.2,4.3,4/18/15,0.2996243,SW
8ASW917,S,0.2,7.26,3/28/15,0.3215427,SW
10ASW917,S,0.2,7,4/5/15,0.3263385,SW
16ASW917,S,0.2,5.17,3/28/15,0.2949477,SW
17ASW917,S,0.2,6.04,3/28/15,0.3066385,SW
19ASW917,S,0.2,5.81,4/13/15,0.3186974,SW
