Individual_ID,Sample Date,Initial Weight,Final Weight ,Emergence Date,p-value,site,site.level
1AWO624,J,0.2,3.22,2/25/15,0.3204982,WO,7
2AWO624,J,0.2,3.55,3/15/15,0.3570146,WO,7
3AWO624,J,0.2,1.72,4/9/15,0.3265226,WO,7
4AWO624,J,0.2,5.18,2/23/15,0.3668321,WO,7
5AWO624,J,0.2,2.11,4/4/15,0.3387535,WO,7
7AWO624,J,0.2,6.44,3/14/15,0.4301997,WO,7
8AWO624,J,0.2,1.77,4/6/15,0.3233511,WO,7
15AWO624,J,0.2,4.1,3/9/15,0.3622184,WO,7
16AWO624,J,0.2,2.58,3/19/15,0.3296726,WO,7
17AWO624,J,0.2,5.1,2/22/15,0.3636577,WO,7
1ACH619,J,0.2,2.18,3/20/15,0.3237601,CH,5
2ACH619,J,0.2,1.86,3/30/15,0.3253028,CH,5
3ACH619,J,0.2,1.22,4/18/15,0.3170223,CH,5
4ACH619,J,0.2,1.8,4/8/15,0.3406716,CH,5
5ACH619,J,0.2,2.32,4/6/15,0.3681764,CH,5
6ACH619,J,0.2,1.99,4/13/15,0.3664436,CH,5
9ACH619,J,0.2,1.9,4/3/15,0.3366468,CH,5
13ACH619,J,0.2,1.78,4/11/15,0.3466985,CH,5
17ACH619,J,0.2,1.38,4/11/15,0.3159617,CH,5
18ACH619,J,0.2,1.95,4/5/15,0.3441209,CH,5
3ACO623,J,0.2,2.39,4/1/15,0.2940827,CO,1
4ACO623,J,0.2,0.98,4/29/15,0.2559803,CO,1
5ACO623,J,0.2,1.19,4/6/15,0.236117,CO,1
6ACO623,J,0.2,3.03,3/28/15,0.3107663,CO,1
8ACO623,J,0.2,0.95,4/22/15,0.2391907,CO,1
10ACO623,J,0.2,1.78,4/5/15,0.2713327,CO,1
11ACO623,J,0.2,2.97,3/30/15,0.3128222,CO,1
12ACO623,J,0.2,2.48,4/2/15,0.2997284,CO,1
13ACO623,J,0.2,3.21,3/23/15,0.3075326,CO,1
16ACO623,J,0.2,4.06,3/23/15,0.3331527,CO,1
3AEF630,J,0.2,4.17,3/21/15,0.3558702,EF,2
5AEF630,J,0.2,6.64,3/15/15,0.4015447,EF,2
6AEF630,J,0.2,4.54,3/14/15,0.3527293,EF,2
7AEF630,J,0.2,5.59,3/1/15,0.3576058,EF,2
8AEF630,J,0.2,5.39,3/16/15,0.3768901,EF,2
9AEF630,J,0.2,2.44,4/15/15,0.3432827,EF,2
