Individual_ID,Sample Date,Initial Weight,Final Weight ,Emergence Date,p-value,,site,site.level
4ACO929,S,0.2,3.05,5/21/15,0.2787833,,CO,1
5ACO929,S,0.2,3.23,5/25/15,0.2884278,,CO,1
6ACO929,S,0.2,2.03,6/20/15,0.2896592,,CO,1
7ACO929,S,0.2,4.37,5/30/15,0.3225539,,CO,1
8ACO929,S,0.2,6.44,5/3/15,0.3187393,,CO,1
10ACO929,S,0.2,2.97,5/26/15,0.2830251,0.296864767,CO,1
1AHA924,S,0.2,2.42,5/31/15,0.2814926,,HA,3
2AHA924,S,0.2,1.78,6/21/15,0.2890517,,HA,3
3AHA924,S,0.2,6.26,5/15/15,0.341557,,HA,3
5AHA924,S,0.2,0.65,6/21/15,0.2127532,,HA,3
8AHA924,S,0.2,2.53,5/20/15,0.2710806,,HA,3
10AHA924,S,0.2,1.78,5/20/15,0.2890517,0.280831133,HA,3
1AIS924,S,0.2,2.8,5/20/15,0.4095784,,IS,2
2AIS924,S,0.2,6.86,4/24/15,0.4378278,,IS,2
3AIS924,S,0.2,5.86,5/5/15,0.4487148,,IS,2
5AIS924,S,0.2,5.23,5/5/15,0.4349367,,IS,2
7AIS924,S,0.2,5.41,5/5/15,0.438965,,IS,2
8AIS924,S,0.2,7.15,5/2/15,0.4650254,0.439174683,IS,2
1AJE921,S,0.2,5.16,4/21/15,0.3375541,,JE,5
2AJE921,S,0.2,4.76,5/16/15,0.3578541,,JE,5
3AJE921,S,0.2,5.74,5/12/15,0.3716754,,JE,5
7AJE921,S,0.2,10.58,5/12/15,NA,,JE,5
8AJE921,S,0.2,4.11,5/29/15,0.3607903,,JE,5
9AJE921,S,0.2,3.12,5/12/15,0.3151991,0.3486146,JE,5
1AMA923,S,0.2,6.58,4/28/15,0.2645456,,MA,4
3AMA923,S,0.2,5.49,5/4/15,0.2582597,,MA,4
5AMA923,S,0.2,5.2,4/29/15,0.2492635,,MA,4
7AMA923,S,0.2,6.61,4/20/15,0.256704,,MA,4
8AMA923,S,0.2,5.68,5/2/15,0.2584406,,MA,4
10AMA923,S,0.2,3.35,5/29/15,0.2541881,0.25690025,MA,4
1ASW917,S,0.2,4.3,4/18/15,0.2996243,,SW,6
8ASW917,S,0.2,7.26,3/28/15,0.3215427,,SW,6
10ASW917,S,0.2,7,4/5/15,0.3263385,,SW,6
16ASW917,S,0.2,5.17,3/28/15,0.2949477,,SW,6
17ASW917,S,0.2,6.04,3/28/15,0.3066385,,SW,6
19ASW917,S,0.2,5.81,4/13/15,0.3186974,0.311298183,SW,6
