date processed ,sample ID ,empty stomach?,digested material ,unid material ,diptera larve,diptera pupae ,diptera adult,coleoptera larvae ,coleoptera adult,arachnid ,water mites,ephmeroptera nymph ,ephmeroptera adult ,plecoptera nymph ,plecoptera adult,tricoptera larvae,tricoptera adult,hemiptera,hymenoptera ,hymenoptera larvae,aquatic other,brachycera larvae,isopod,worm,centipede,slugs,megaloptera larvae,other adult,comments,,,,,,,,,,,
8/2/16,1ALO621,no,0.0297,,0.0169,0.0001,,,,,,0.0001,,,,0.0335,,0.0074,,,,0.0575,0.0094,,0.0035,0.0135,,,,,,Aquatic larvae (soft-bodied),Aquatic larvae (rigid-bodied),Aquatic Nymphs,Aquatic Other,Winged insect,Coleoptera,Hymenoptera,Hemiptera,Other
8/2/16,2ALO621,no,0.0109,,0.0051,,,,,,,0.0021,,,,,,,,,0.0025,,,0.213,,,,,aquatic other: amphipod,,,,,,,,,,,
8/2/16,3ALO621,no,0.0201,,,0.0001,,,,,,0.0012,,,,,,0.0089,0.0007,,,0.0123,0.0083,0.0741,,,,,,,,,,,,,,,,
8/2/16,4ALO621,no,0.03,,0.0113,,,,0.0021,,,0.0049,,,,,,,0.0012,,,0.0073,,,,,,,,,,,,,,,,,,
8/2/16,5ALO621,no,0.0499,,0.0195,,,,0.0001,,,0.0015,,,,,,,,,,,,0.0222,,,,,,,,,,,,,,,,
8/2/16,6ALO621,no,0.0369,,,,,,,,,,,,,,,,,,0.0464,,,,,,,,aquatic other: amphipod,,,,,,,,,,,
8/3/16,7ALO621,no,0.0136,,0.0101,0.0001,0.0035,,,0.0035,,0.0001,,,,,,,,,0.0117,,,,,,,,aquatic other: amphipod,,,,,,,,,,,
8/3/16,8ALO621,no,,,0.0087,,,,,,,0.0001,,,,,,,,,0.0026,,,,,,,,aquatic other: amphipod,,,,,,,,,,,
8/3/16,9ALO621,no,0.1268,,0.0248,,,,,,,0.0078,,,,,,,,,,0.0445,,,,0.0046,,,,,,,,,,,,,,
8/3/16,10ALO621,no,0.0186,,0.0174,,,,,,,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/16,1AIS615,no,0.0259,,,0.0001,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/16,4AIS615,no,0.0246,,0.0018,,,,,,,,,,,0.0597,,,,,,,,,,,,,stomach torn,,,,,,,,,,,
8/3/16,5AIS615,no,0.0192,,,,,,,,,0.0006,,,,,,0.0294,0.0002,,,0.0001,,,,,,,0.0001 g of rocks ,,,,,,,,,,,
8/3/16,6AIS615,no,0.0162,,,,0.0013,,0.0034,,,0.0028,,,,,,0.0031,,,,,,,,,,,,,,,,,,,,,,
8/3/16,7AIS615,no,0.0255,,,,,,,,,,,,,,,0.0062,,,,,,,,,,,,,,,,,,,,,,
8/3/16,8AIS615,no,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,stomach torn,,,,,,,,,,,
8/3/16,9AIS615,no,0.0353,0.0021,0.0316,,,,,,,0.0022,,,,0.0432,,,,,,0.0001,0.0181,0.0168,,,,,unid: nymph,,,,,,,,,,,
8/3/16,14AIS615,no,0.0286,,0.0008,,,0.0001,,,,0.0138,,0.0001,,0.0068,,0.0015,0.0029,,,,,0.0044,,,,,,,,,,,,,,,,
8/3/16,15AIS615,no,0.0219,,,,,,,,,,,,,,,,0.0045,,,,,,,,,,,,,,,,,,,,,
8/3/16,16AIS615,no,0.013,,,,,,0.0003,,,,,,,0.0026,,,,,,,,,,,,,,,,,,,,,,,,
8/3/16,1AJE616,no,0.0057,,,0.0001,,0.0003,,,,0.0013,,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/16,3AJE616,no,0.0016,,0.0001,,,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/16,4AJE616,no,0.0127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/16,5AJE616,no,0.0499,,,,,0.0001,,,,,,,,,,,,,,,0.0407,,,,,,,,,,,,,,,,,
8/3/16,6AJE616,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/16,7AJE616,no,0.0132,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/16,8AJE616,no,0.0077,,,,,0.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/16,9AJE616,no,0.0212,,,,,0.0005,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/16,10AJE616,no,0.0086,,,,,0.0052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/16,11AJE616,no,0.0486,,,,,0.0001,0.0001,,,,,,,,,0.0008,,,,,,,,,,,,,,,,,,,,,,
8/4/16,1ACH619,no,0.0116,,,,,,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,
8/4/16,2ACH619,no,0.0079,,,,,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/16,3ACH619,no,0.0037,,,,,,,,0.0001,,,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/16,4ACH619,no,0.0219,,,,,0.0023,,,,,,0.0024,,,,,,,,0.0642,,,,,,,,,,,,,,,,,,
8/4/16,5ACH619,no,0.0052,,,,,,,,,,,,,,,,,,,0.0184,,,,,,,,,,,,,,,,,,
8/4/16,6ACH619,no,0.0096,,,,0.0001,,,,,,,,,,,,0.0001,,,0.1012,,,,,,,,,,,,,,,,,,
8/4/16,9ACH619,no ,0.0116,0.0027,,,,,,,,,,,,,,,,,,0.0356,,,,,,,unid potentially coleoptera?,,,,,,,,,,,
8/4/16,13ACH619,no,0.0046,0.0001,,0.0001,,,,,,,,0.0001,,,,,,,,0.0118,,,,,,,,,,,,,,,,,,
8/4/16,17ACH619,no,0.0144,,0.0098,,,,,,,,,,,,,,,,,,,,,,,,some stomach lining still attached to bugs in weight ,,,,,,,,,,,
8/4/16,18ACH619,no,0.0152,,0.0001,,,,,,,,,0.0011,,,,,,,,0.1068,,,,,,,,,,,,,,,,,,
8/4/16,1AHA622,no,0.006,,,,,,,,,,,,,,,0.0002,,,,,,,,,,,,,,,,,,,,,,
8/4/16,2AHA622,no,0.0146,,,,,,,,,,,,,,,0.0009,,,,,,,,,,,,,,,,,,,,,,
8/4/16,3AHA622,no,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/16,4AHA622,no,0.0175,0.0001,0.0001,,,,0.0095,,,,,0.0001,,,,,,,,,,,,,,,unid: some kind of nymph,,,,,,,,,,,
8/4/16,5AHA622,no,0.0068,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/16,6AHA622,no,0.0079,,,,0.0007,,,0.0001,,,,,,,,0.0035,0.0001,,,,,,,,,,1 head (hymenoptera or coleoptera?),,,,,,,,,,,
8/4/16,7AHA622,no,0.0327,0.0014,0.0001,,,0.0051,0.0002,0.0001,,0.0006,,0.0011,,,,,,,,,,,,,,,unid:hymenoptera/coleoptera?,,,,,,,,,,,
8/4/16,8AHA622,no,0.0109,,,,,,0.0007,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/16,9AHA622,no,0.0467,,,,0.0001,,,,,,,,,,,,0.0017,,,,,,,,,,,,,,,,,,,,,
8/4/16,10AHA622,no,0.0127,,0.0001,,,,,,,,,0.0001,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,
8/8/16,3ACO623,no,0.0154,,0.0001,0.0001,0.0009,0.0013,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,
8/8/16,4ACO623,no,0.0283,,,,,,,,0.001,,,,,,,,,,,,,,,,,,stomach lining mostly still attached tp digested material,,,,,,,,,,,
8/8/16,5ACO623,no,0.0083,,0.0006,,,,,,,,,,,,,,,,0.0001,,,,,,,,aquatic other: copepods,,,,,,,,,,,
8/8/16,6ACO623,no,0.0544,,,,,,0.0001,,,,0.006,0.002,,,,,0.0001,,,,,,,,,,,,,,,,,,,,,
8/8/16,8ACO623,no ,0.0071,,0.0001,,,0.0005,,,,0.0001,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/16,10ACO623,no,0.0057,,,0.0005,,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/16,11ACO623,no,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/8/16,12ACO623,no,0.0106,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,unid: larvae,,,,,,,,,,,
8/8/16,13ACO623,no,0.012,0.0006,,,,,,,,,,,,0.0004,0.0016,,,,,,,,,,,,unid: larvae,,,,,,,,,,,
8/8/16,16ACO623,no,,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,"fish in bad shape, stomach was not found but there was 1 larvae found in fish; weight in unid material",,,,,,,,,,,
