CERC #,Field/Lab ID,Sample Type,Date,Units,Temperature,Li,Be,B,Na,Mg,Al_Constant,Al,K_constant,K,Ca,Sc,Ti,V,Cr_C,Cr,Mn_C,Mn,Fe_C,Fe,Co,Ni_C,Ni,Cu_C,Cu,Zn_C,Zn,As,Se,Rb,Sr,Y,Mo,Ag,Cd,Sn,Sb,Ba,W,Tl,Pb,Bi,Th,U
66226,1CO810D,Diluted DGT Extract,2/17/16,_g/L,13,< 5,< 5,< 10,240,3300,3.35,110,,< 200,18000,< 10,< 10,< 5,,< 10,4.12,110,4.31,440,< 5,4.07,3,,< 5,4.29,62,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66227,2CO810D,Diluted DGT Extract,2/17/16,_g/L,13,< 5,< 5,< 10,290,2900,3.35,150,,< 200,16000,< 10,< 10,5,,< 10,4.12,100,4.31,< 400,< 5,4.07,5,,< 5,4.29,67,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66228,1IS811D,Diluted DGT Extract,2/17/16,_g/L,15,< 5,< 5,< 10,350,4100,3.57,60,,200,27000,< 10,< 10,< 5,,< 10,4.39,89,4.59,< 400,< 5,4.33,4,,< 5,4.56,51,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66229,2IS811D,Diluted DGT Extract,2/17/16,_g/L,15,< 5,< 5,< 10,380,3800,3.57,340,,350,24000,< 10,10,< 5,,< 10,4.39,120,4.59,650,< 5,4.33,4,4.68,5,4.56,62,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,12,< 10,< 3,< 3,< 10,< 10,< 2
66230,1HA812D,Diluted DGT Extract,2/17/16,_g/L,14,< 5,< 5,< 10,280,2700,3.46,61,,< 200,19000,< 10,< 10,< 5,,< 10,4.26,20,4.45,< 400,< 5,4.2,< 2,,< 5,4.42,61,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66231,2HA812D,Diluted DGT Extract,2/17/16,_g/L,14,< 5,< 5,< 10,300,3100,3.46,63,,< 200,21000,< 10,< 10,< 5,,< 10,4.26,29,4.45,< 400,< 5,4.2,< 2,,< 5,4.42,68,< 5,< 5,< 5,110,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66232,1MA813D,Diluted DGT Extract,2/17/16,_g/L,15,< 5,< 5,< 10,430,5000,3.57,37,,300,26000,< 10,< 10,< 5,3.79,12,4.39,470,4.59,< 400,< 5,4.33,10,4.68,8,4.56,96,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66233,2MA813D,Diluted DGT Extract,2/17/16,_g/L,15,< 5,< 5,< 10,420,3100,3.57,44,,270,16000,< 10,< 10,< 5,,< 10,4.39,320,4.59,< 400,< 5,4.33,7,4.68,7,4.56,86,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66234,1JE814D,Diluted DGT Extract,2/17/16,_g/L,16,< 5,< 5,< 10,590,3300,3.68,240,,730,23000,< 10,< 10,< 5,,< 10,4.52,170,4.73,810,< 5,4.47,< 2,4.82,6,4.7,66,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66235,2JE814D,Diluted DGT Extract,2/17/16,_g/L,16,< 5,< 5,< 10,360,2500,3.68,160,,< 200,18000,< 10,< 10,< 5,,< 10,4.52,80,4.73,< 400,< 5,4.47,< 2,4.82,< 5,4.7,< 50,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66236,1SW815D,Diluted DGT Extract,2/17/16,_g/L,16,< 5,< 5,< 10,390,4300,3.68,32,,280,24000,< 10,< 10,< 5,,< 10,4.52,450,4.73,< 400,< 5,4.47,8,4.82,5,4.7,86,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66237,2SW815D,Diluted DGT Extract,2/17/16,_g/L,16,< 5,< 5,< 10,300,4800,3.68,30,,< 200,26000,< 10,< 10,< 5,,< 10,4.52,410,4.73,< 400,< 5,4.47,7,4.82,8,4.7,< 50,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66238,1CO910D,Diluted DGT Extract,2/17/16,_g/L,12,< 5,< 5,< 10,350,3000,3.25,150,,270,15000,< 10,< 10,12,,< 10,4,540,4.18,1600,< 5,3.94,4,,< 5,4.15,97,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66239,2CO910D,Diluted DGT Extract,2/17/16,_g/L,12,< 5,< 5,< 10,260,3000,3.25,130,,200,17000,< 10,< 10,< 5,,< 10,4,99,4.18,< 400,< 5,3.94,3,,< 5,4.15,61,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66240,1IS911D,Diluted DGT Extract,2/17/16,_g/L,13,< 5,< 5,< 10,390,2200,3.35,58,,290,14000,< 10,< 10,< 5,,< 10,4.12,77,4.31,< 400,< 5,4.07,5,,< 5,4.29,68,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66241,2IS911D,Diluted DGT Extract,2/17/16,_g/L,13,< 5,< 5,< 10,360,2100,3.35,67,,260,13000,< 10,< 10,< 5,,< 10,4.12,46,4.31,< 400,< 5,4.07,5,,< 5,4.29,57,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66242,1HA912D,Diluted DGT Extract,2/17/16,_g/L,13,< 5,< 5,< 10,340,3100,3.35,63,,< 200,22000,< 10,< 10,< 5,,< 10,4.12,21,4.31,< 400,< 5,4.07,2,4.39,5,4.29,64,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66243,2HA912D,Diluted DGT Extract,2/17/16,_g/L,13,< 5,< 5,< 10,450,2600,3.35,70,,240,17000,< 10,< 10,< 5,,< 10,4.12,19,4.31,< 400,< 5,4.07,< 2,4.39,6,4.29,72,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66244,1MA913D,Diluted DGT Extract,2/17/16,_g/L,14,< 5,< 5,< 10,340,3800,3.46,99,,200,20000,< 10,< 10,< 5,,< 10,4.26,220,4.45,< 400,< 5,4.2,9,4.53,9,4.42,99,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66245,2MA913D,Diluted DGT Extract,2/17/16,_g/L,14,< 5,< 5,< 10,550,5600,3.46,160,,300,29000,< 10,< 10,< 5,,< 10,4.26,450,4.45,770,< 5,4.2,11,4.53,10,4.42,130,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66246,1JE914D,Diluted DGT Extract,2/17/16,_g/L,15,< 5,< 5,< 10,380,2800,3.57,120,,< 200,20000,< 10,< 10,< 5,,< 10,4.39,170,4.59,< 400,< 5,4.33,2,4.68,6,4.56,< 50,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66247,2JE914D,Diluted DGT Extract,2/17/16,_g/L,15,< 5,< 5,< 10,370,2400,3.57,120,,410,17000,< 10,< 10,< 5,,< 10,4.39,95,4.59,< 400,< 5,4.33,< 2,4.68,6,4.56,< 50,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66248,1SW915D,Diluted DGT Extract,2/17/16,_g/L,15,< 5,< 5,< 10,360,3100,3.57,46,,220,16000,< 10,< 10,< 5,,< 10,4.39,200,4.59,< 400,< 5,4.33,7,4.68,5,4.56,59,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66249,2SW915D,Diluted DGT Extract,2/17/16,_g/L,15,< 5,< 5,< 10,340,4500,3.57,31,,240,24000,< 10,< 10,< 5,,< 10,4.39,250,4.59,< 400,< 5,4.33,10,4.68,6,4.56,55,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66250,3CO619D,Diluted Std Ref,2/17/16,_g/L,0,< 5,< 5,17,50000,8500,,41,,3900,34000,< 10,< 10,< 5,,< 10,,7,,< 400,< 5,,< 2,,5,,45,5,< 5,< 5,290,< 10,3,3,< 3,< 10,< 5,81,< 10,3,< 3,< 10,< 10,2
66251,4CO619D,Diluted Std Ref,2/17/16,_g/L,0,9,< 5,33,33000,22000,,130,,4500,50000,< 10,< 10,< 5,,< 10,,1000,,1800,6,,18,,28,,1000,< 5,< 5,5,530,< 10,< 3,< 3,3,< 10,< 5,35,< 10,< 3,< 3,< 10,< 10,< 2
66252,5CO619D,Diluted Std Ref,2/17/16,_g/L,0,9,< 5,37,37000,23000,,150,,5100,55000,< 10,< 10,< 5,,11,,1100,,2100,6,,26,,33,,1100,< 5,< 5,5,590,< 10,< 3,< 3,< 3,< 10,< 5,37,< 10,< 3,< 3,< 10,< 10,< 2
66253,1CO619D,Diluted DGT Extract,2/17/16,_g/L,0,< 5,< 5,< 10,12000,< 1000,,82,,< 200,< 1000,< 10,< 10,< 5,,< 10,,< 5,,< 400,< 5,,< 2,,< 5,,71,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66254,2CO619D,Diluted DGT Extract,2/17/16,_g/L,0,< 5,< 5,< 10,33000,< 1000,,24,,< 200,< 1000,< 10,< 10,< 5,,< 10,,< 5,,< 400,< 5,,< 2,,< 5,,< 50,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
66255,6CO619D,Diluted DGT Extract,2/17/16,_g/L,0,< 5,< 5,< 10,31000,< 1000,,36,,< 200,< 1000,< 10,< 10,< 5,,< 10,,< 5,,< 400,< 5,,< 2,,< 5,,< 50,< 5,< 5,< 5,< 100,< 10,< 3,< 3,< 3,< 10,< 5,< 10,< 10,< 3,< 3,< 10,< 10,< 2
