Site,Pseudobranchs,Gills,Spleen,Parasites,Liver,Hindgut,Kidney,Eyes,Fins,Skin,Total
Coulter,0.80952381,0.476190476,0.428571429,0.857142857,0.285714286,0.285714286,0.095238095,0,0,0,
Rock Creek,0.857142857,0.285714286,0.142857143,0,0,0.142857143,0,0,0,0.071428571,
Issaquah,0.142857143,0.047619048,0.19047619,0,0.047619048,0,0,0.047619048,0,0,
Church,0.35,0.25,0.3,0.25,0,0.1,0,0,0,0,
Harris,0.444444444,0.611111111,0.055555556,0,0.166666667,0.5,0.222222222,0,0,0,
May,0.538461538,0.538461538,0.384615385,0.230769231,0.153846154,0.538461538,0,0,0,0,
Jenkins,0.5,0.642857143,0.642857143,0.928571429,0.357142857,0,0.571428571,0.428571429,0.071428571,0,
Woodland,0.4,0.7,0.65,1,0.5,0.5,0.35,0.35,0.3,0.4,
Longfellow,0.1,0.1,0,0,0.9,0.1,0,0,0.1,0,
Mercer,0.4,0.4,0.2,0,0.1,0.2,0.1,0,0,0,
Swamp,0.4,0.5,0.45,0.1,0.4,0.3,0,0,0.1,0,
Thorton,0.333333333,0.333333333,0.2,0,0,0.066666667,0,0,0.066666667,0,
